TeamID,"Team Name","ottoneu ID","FG MajorLeagueID","FG MinorLeagueID",Name,"MLB Team",Position(s),Salary
560,"Northern Pikes 2.0 🛶",5680,5361,sa390291,"Freddie Freeman",LAD,1B,$22
560,"Northern Pikes 2.0 🛶",33682,22250,sa3008598,"Logan Gilbert",SEA,SP,$22
560,"Northern Pikes 2.0 🛶",36671,25436,sa3011526,"George Kirby",SEA,SP,$21
560,"Northern Pikes 2.0 🛶",18113,12768,sa455516,"Sonny Gray",BOS,SP,$19
560,"Northern Pikes 2.0 🛶",18126,12927,sa597760,"Brandon Nimmo",TEX,OF,$18
560,"Northern Pikes 2.0 🛶",23825,19326,sa873683,"Bryan Reynolds",PIT,OF,$18
560,"Northern Pikes 2.0 🛶",23651,13066,sa596861,"Teoscar Hernandez",LAD,OF,$18
560,"Northern Pikes 2.0 🛶",48239,,sa3063134,"Kazuma Okamoto","TOR ST",1B/3B,$15
560,"Northern Pikes 2.0 🛶",35196,21390,sa3007584,"Joe Ryan",MIN,SP,$14
560,"Northern Pikes 2.0 🛶",40550,29837,sa3017414,"Bryce Miller",SEA,SP,$13
560,"Northern Pikes 2.0 🛶",42156,31347,sa3019855,"Zach Neto",LAA,SS,$13
560,"Northern Pikes 2.0 🛶",21708,17338,sa830274,"Willi Castro",COL,2B/3B/OF,$11
560,"Northern Pikes 2.0 🛶",18364,17432,sa709602,"Jeff Hoffman",TOR,RP,$11
560,"Northern Pikes 2.0 🛶",36030,26517,sa3008745,"Noelvi Marte",CIN,3B/OF,$10
560,"Northern Pikes 2.0 🛶",35205,20423,sa3007594,"Ryan Walker",SFG,RP,$10
560,"Northern Pikes 2.0 🛶",48240,,sa3063258,"Munetaka Murakami","CHW ST",3B,$10
560,"Northern Pikes 2.0 🛶",34788,22542,sa3006873,"Lawrence Butler",ATH,OF,$10
560,"Northern Pikes 2.0 🛶",20421,17897,sa827423,"Garrett Cleavinger",TBR,RP,$10
560,"Northern Pikes 2.0 🛶",40371,29695,sa3017154,"Matt McLain",CIN,2B,$9
560,"Northern Pikes 2.0 🛶",42737,31846,sa3020703,"Spencer Schwellenbach",ATL,SP,$9
560,"Northern Pikes 2.0 🛶",22651,18138,sa874172,"Ryan Helsley",BAL,RP,$9
560,"Northern Pikes 2.0 🛶",18644,15362,sa709024,"Jeff Mcneil",ATH,2B/OF,$8
560,"Northern Pikes 2.0 🛶",18257,15873,sa709610,"Sean Manaea",NYM,SP,$7
560,"Northern Pikes 2.0 🛶",18465,15440,sa621603,"Matthew Boyd",CHC,SP,$7
560,"Northern Pikes 2.0 🛶",35628,24064,sa3008239,"Ezequiel Tovar",COL,SS,$7
560,"Northern Pikes 2.0 🛶",33325,21690,sa920423,"Edward Cabrera",CHC,SP,$7
560,"Northern Pikes 2.0 🛶",37174,26466,sa918808,"Matt Wallner",MIN,OF,$6
560,"Northern Pikes 2.0 🛶",27208,22210,sa3005339,"Jeremiah Estrada",SDP,RP,$6
560,"Northern Pikes 2.0 🛶",23833,19918,sa3002838,"Daulton Varsho",TOR,OF,$6
560,"Northern Pikes 2.0 🛶",40262,29712,sa3017170,"Colson Montgomery",CHW,SS/3B,$6
560,"Northern Pikes 2.0 🛶",13117,12161,sa550735,"Xander Bogaerts",SDP,SS,$5
560,"Northern Pikes 2.0 🛶",8626,7304,sa392995,"Salvador Perez",KCR,C/1B,$5
560,"Northern Pikes 2.0 🛶",33395,20539,sa921576,"Edwin Uceta",TBR,RP,$4
560,"Northern Pikes 2.0 🛶",18462,12970,sa597766,"Joe Musgrove",SDP,RP,$3
560,"Northern Pikes 2.0 🛶",23613,14542,sa598491,"Carlos Estevez",KCR,RP,$3
560,"Northern Pikes 2.0 🛶",37234,25756,sa3010616,"Matt Brash",SEA,RP,$3
560,"Northern Pikes 2.0 🛶",36803,25479,sa3009965,"Brenton Doyle",COL,OF,$2
560,"Northern Pikes 2.0 🛶",46358,,sa3067131,"Ryan Sloan","SEA ST",SP,$2
560,"Northern Pikes 2.0 🛶",47553,,sa3026056,"Kade Anderson",,Util,$2
560,"Northern Pikes 2.0 🛶",33652,24618,sa3007051,"Ryan Jeffers",MIN,C,$1
560,"Northern Pikes 2.0 🛶",44639,,sa3023515,"Brody Hopkins","TBR ST",SP,$1
562,"The Art of Pitching",23327,18401,sa877503,"Ronald Acuña Jr.",ATL,OF,$46
562,"The Art of Pitching",37182,25878,sa3010593,"Corbin Carroll",ARI,OF,$42
562,"The Art of Pitching",35204,22267,sa3007593,"Tarik Skubal",DET,SP,$40
562,"The Art of Pitching",18479,17919,sa827194,"Ian Happ",CHC,OF,$18
562,"The Art of Pitching",18359,16137,sa598286,"Carlos Rodon",NYY,SP,$15
562,"The Art of Pitching",37300,25961,sa3010689,"Kerry Carpenter",DET,OF,$14
562,"The Art of Pitching",22048,17548,sa858832,"Taylor Ward",BAL,OF,$12
562,"The Art of Pitching",18378,16505,sa828672,"Matt Chapman",SFG,3B,$11
562,"The Art of Pitching",32009,22100,sa916702,"Jose Soriano",LAA,SP,$11
562,"The Art of Pitching",35808,24968,sa3008513,"Reese Olson",DET,SP,$10
562,"The Art of Pitching",23732,15689,sa657487,"Luis Castillo",SEA,SP,$10
562,"The Art of Pitching",44003,33266,sa3022538,"Jacob Wilson",ATH,SS,$10
562,"The Art of Pitching",14941,11486,sa549085,"Robbie Ray",SFG,SP,$9
562,"The Art of Pitching",26446,19769,sa3004101,"Will Vest",DET,RP,$8
