Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Yordan Alvarez","HOU",84.29000091552734,380.0096130371094,317.4607849121094,94.22589874267578,54.50490188598633,18.591899871826172,0.5552999973297119,20.57379913330078,61.093299865722656,56.99470138549805,52.8213005065918,8.74020004272461,62.857200622558594,5.700099945068359,2.711400032043457,1.3158999681472778,,1.9148999452590942,0.6485999822616577,0.2968111439929902,0.13899990604036008,0.16540950140758767,0.8403380994290566,0.4033532784419453,0.5532960494741436,0.40212265625510324,0.9566493279160888,0.2564849054811534,,0.31110809701656,,,72.3812270237575,27.48016245052855,160.9449264314475,,,,,,33.38999938964844,,,,,,,638.0661108136177,7.569890899076706,638.0661108136177,7.569890899076706,0.361,0.374,0.384,0.392,0.401,0.409,0.418,0.429,0.445,0.382,0.389,0.394,0.398,0.402,0.406,0.41,0.415,0.422,"Yordan Alvarez","19556",670541
"Juan Soto","NYM",91.31999969482422,408.48773193359375,326.1429138183594,89.86060333251953,51.91059875488281,14.220499992370605,1.4407999515533447,22.288700103759766,65.74590301513672,60.737300872802734,76.38719940185547,6.535799980163574,68.48999786376953,2.0423998832702637,2.974900007247925,0.9402999877929688,,12.736100196838379,4.428500175476074,0.2755252361011471,0.18699998416176042,0.16766720885244035,1.1153044500569838,0.41293404694466757,0.532983522389619,0.40168401646319185,0.9459175693342865,0.2574582862884719,,0.2835115964305091,,,77.66003769666503,29.39406389054711,160.64360632293938,,,,,,4.650000095367432,,,,,,,683.1298432588577,7.48061591701446,683.1298432588577,7.48061591701446,0.364,0.377,0.386,0.394,0.402,0.41,0.419,0.429,0.444,0.386,0.392,0.396,0.4,0.403,0.407,0.41,0.415,0.421,"Juan Soto","20123",665742
"Aaron Judge","NYY",42.4900016784668,190.0022735595703,152.43789672851562,41.84339904785156,22.866500854492188,7.258800029754639,0.30250000953674316,11.41569995880127,30.640100479125977,29.31209945678711,33.82040023803711,6.080100059509277,47.71310043334961,1.899999976158142,1.3870999813079834,0.4569000005722046,,3.2183001041412354,1.0052000284194946,0.27449472831793653,0.1779999765499311,0.251118576317406,0.7088283915919653,0.4092096169084973,0.550744943216682,0.40093218899877153,0.9599545601251793,0.27625021489874546,,0.3213191265568468,,,36.006485076913954,13.556252078925388,160.12714443932566,,,,,,1.850000023841858,,,,,,,322.42889845371246,7.588347510400638,322.42889845371246,7.588347510400638,0.347,0.364,0.377,0.388,0.399,0.41,0.422,0.437,0.459,0.384,0.39,0.394,0.398,0.401,0.405,0.408,0.413,0.419,"Aaron Judge","15640",592450
"Shohei Ohtani","LAD",90.5199966430664,419.6481628417969,348.2127990722656,94.40779876708984,51.27109909057617,16.77389907836914,3.8076000213623047,22.555200576782227,72.27619934082031,56.004798889160156,62.947200775146484,10.49120044708252,99.2406005859375,3.3571999073028564,2.5917000770568848,2.539299964904785,,12.249300003051758,3.658900022506714,0.2711209898619985,0.14999994364058958,0.2364852497241843,0.6342887931299579,0.38530033646934303,0.5354843363463879,0.3859304248830637,0.920784672815731,0.2643633464843894,,0.31375488713756655,,,74.41433819547368,24.829673462383443,149.82180216415165,,,,,,1.2699999809265137,,,,,,,674.7793388843536,7.454478169559675,674.7793388843536,7.454478169559675,0.348,0.36,0.369,0.377,0.385,0.393,0.401,0.411,0.426,0.369,0.375,0.379,0.382,0.386,0.389,0.393,0.397,0.403,"Shohei Ohtani","19755",660271
"Vladimir Guerrero Jr.","TOR",90.47000122070312,401.5832824707031,344.2206115722656,101.6156005859375,65.61949920654297,19.632400512695312,0.3192000091075897,16.04450035095215,55.49480056762695,56.13600158691406,49.39469909667969,6.02370023727417,50.600399017333984,4.417399883270264,2.996000051498413,0.5544999837875366,,4.02810001373291,1.5125999450683594,0.29520486911517885,0.12299988882202337,0.12600225464073062,0.9761721262268848,0.3875724990659759,0.49392713843160146,0.3768490420239064,0.8814996374975774,0.19872226931642262,,0.30498833808686876,,,68.25001186772357,20.799851979306652,143.5834185998131,,,,,,18.049999237060547,,,,,,,599.2528636664154,6.623774240972184,599.2528636664154,6.623774240972184,0.34,0.352,0.361,0.369,0.376,0.384,0.392,0.402,0.417,0.36,0.366,0.37,0.374,0.377,0.381,0.385,0.389,0.395,"Vladimir Guerrero Jr.","19611",665489
"Nick Kurtz","ATH",90.0999984741211,403.1559143066406,333.00579833984375,86.03130340576172,47.49409866333008,16.31209945678711,1.2655999660491943,20.95949935913086,60.362098693847656,56.22209930419922,63.295501708984375,5.241000175476074,114.88700103759766,2.8220999240875244,2.851599931716919,1.180899977684021,,4.688399791717529,1.5296000242233276,0.2583477640169011,0.15700005745380627,0.28496915699521286,0.5509370175679879,0.3785034021392637,0.503754276195448,0.3761241687690598,0.8822576783347117,0.24540651217854687,,0.32534129258973243,,,68.28001569638795,20.644037236038084,143.08547269560498,,,,,,19.8700008392334,,,,,,,603.2856873750686,6.695734712452264,603.2856873750686,6.695734712452264,0.335,0.348,0.358,0.366,0.375,0.383,0.393,0.404,0.42,0.353,0.36,0.366,0.371,0.376,0.381,0.386,0.392,0.4,"Nick Kurtz","35110",701762
"Ronald Acuña Jr.","ATL",89.19999694824219,412.1889953613281,342.52191162109375,93.37930297851562,59.36140060424805,16.13520050048828,1.3650000095367432,16.5177001953125,65.45089721679688,46.48860168457031,60.17959976196289,2.8852999210357666,82.2052993774414,4.53410005569458,2.567199945449829,2.386199951171875,,20.250099182128906,5.579100131988525,0.2726228594736273,0.1460000156219818,0.1994359391021092,0.7320647235362693,0.3857782289540144,0.47237153865376463,0.37179583991761966,0.8581497676077791,0.19974867918013733,,0.3119812305401022,,,68.361381548488,19.658074942173247,140.11216169367432,,,,,,5.260000228881836,,,,,,,607.2359559297562,6.807578214179778,607.2359559297562,6.807578214179778,0.334,0.346,0.356,0.364,0.371,0.379,0.388,0.398,0.413,0.352,0.359,0.364,0.368,0.372,0.376,0.381,0.386,0.393,"Ronald Acuna Jr.","18401",660670
"Junior Caminero","TBR",94.52999877929688,421.6001281738281,376.92059326171875,103.59239959716797,60.99440002441406,18.087099075317383,0.4828000068664551,24.028099060058594,60.28799819946289,65.34149932861328,37.944000244140625,1.686400055885315,73.87640380859375,2.529599905014038,3.0004000663757324,1.2055000066757202,,3.2344000339508057,1.1901999711990356,0.2748387895198857,0.08999997321750362,0.1752286085125052,0.5136146088330135,0.3426923228357816,0.5166324098950735,0.3656102424984154,0.8593247327308551,0.2417936203751878,,0.2821264118544579,,,67.8048890671658,17.989584585997207,135.8630148540311,,,,,,16.479999542236328,,,,,,,608.4991235971451,6.437100724160944,608.4991235971451,6.437100724160944,0.324,0.337,0.347,0.356,0.364,0.372,0.381,0.392,0.408,0.344,0.351,0.356,0.361,0.365,0.369,0.374,0.379,0.387,"Junior Caminero","28163",691406
"Bryce Harper","PHI",91.55000305175781,405.4267272949219,345.22711181640625,92.82050323486328,54.092201232910156,21.174299240112305,0.7680000066757202,16.785999298095703,54.767601013183594,56.282798767089844,53.92179870605469,4.054299831390381,83.89019775390625,2.8380000591278076,3.0481998920440674,0.39169999957084656,,6.810699939727783,2.355799913406372,0.2688679424581977,0.13300010846800941,0.2069182718012607,0.642766379741236,0.369302063283186,0.4805207680611288,0.3645789846909265,0.8498228313443148,0.21165282560293114,,0.30708713979962277,,,64.86430463215696,16.960012115734557,135.15460052367968,,,,,,47.900001525878906,,,,,,,574.7626539587974,6.2781281791313015,574.7626539587974,6.2781281791313015,0.328,0.34,0.349,0.357,0.364,0.372,0.381,0.391,0.405,0.347,0.353,0.358,0.362,0.365,0.369,0.373,0.378,0.384,"Bryce Harper","11579",547180
"Ketel Marte","ARI",87.05999755859375,401.01568603515625,349.2961120605469,94.72889709472656,56.8578987121582,18.49799919128418,1.4997999668121338,17.87310028076172,59.264400482177734,49.24829864501953,42.90869903564453,2.406100034713745,64.96910095214844,4.010200023651123,2.547600030899048,2.253200054168701,,2.918800115585327,0.8424999713897705,0.27119940309643725,0.10700005144407945,0.16201137066357232,0.6604477883609317,0.3552183484435958,0.48625132732301596,0.3608478482046507,0.8414696757666118,0.2150519242265787,,0.28570767713785167,,,62.943773187314925,15.560679192311428,132.5915260565774,,,,,,32.63999938964844,,,,,,,555.3293292522429,6.3786968162788105,555.3293292522429,6.3786968162788105,0.324,0.336,0.345,0.353,0.361,0.369,0.377,0.388,0.402,0.344,0.35,0.354,0.358,0.362,0.366,0.37,0.374,0.381,"Ketel Marte","13613",606466
