Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",11.050000190734863,49.40059280395508,36.0078010559082,10.065999984741211,5.308599948883057,1.743899941444397,0.056299999356269836,2.957200050354004,8.545100212097168,7.384399890899658,12.616900444030762,4.940100193023682,11.425299644470215,0.2964000105857849,0.36059999465942383,0.11879999935626984,,0.7669000029563904,0.33500000834465027,0.2795505332056252,0.25539977817878806,0.2312785939596152,1.1042949276290777,0.46628463988688496,0.5774887502563769,0.41731237807039456,1.043773390143262,0.29793821705075174,,0.3233344778257256,,,10.018672623021093,4.181611845220277,171.37938475007635,,,,,,1.850000023841858,,,,,,,92.79671050459146,8.397892208400057,92.79671050459146,8.397892208400057,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Vladimir Guerrero Jr.","TOR",20.809999465942383,92.3641586303711,74.33090209960938,22.594200134277344,14.432999610900879,4.39739990234375,0.0551999993622303,3.708699941635132,13.613100051879883,12.729700088500977,16.570100784301758,4.98769998550415,10.079299926757812,0.6464999914169312,0.6891000270843506,0.1274999976158142,,0.8162999749183655,0.4187000095844269,0.30396779126936063,0.1793996830590215,0.10912566168760127,1.6439733815552633,0.4316160792707902,0.5142975276821845,0.3938227270889609,0.9459136069529748,0.21032973641282388,,0.30842532493018454,,,16.970375503391956,6.056838296349616,155.24335625229523,,,,,,18.049999237060547,,,,,,,152.15391006954013,7.31157683682573,152.15391006954013,7.31157683682573,,,,,,,,,,,,,,,,,,,"Vladimir Guerrero Jr.","19611",665489
"Junior Caminero","TBR",27.420000076293945,122.2640380859375,107.37519836425781,30.622699737548828,17.684900283813477,5.509900093078613,0.1151999980211258,7.312600135803223,18.34709930419922,19.603099822998047,13.180100440979004,1.589400053024292,19.026899337768555,0.48910000920295715,0.8701000213623047,0.3495999872684479,,0.7821999788284302,0.3869999945163727,0.285193417139635,0.10780030373047973,0.15562138823187602,0.6927087912225611,0.3633029755335695,0.5429624521807043,0.3819031202027949,0.9062654277142738,0.2577690350410693,,0.2845964499629182,,,21.280759361795184,6.834320954079682,147.0552773170421,,,,,,16.479999542236328,,,,,,,190.89589302688833,6.961921681099047,190.89589302688833,6.961921681099047,,,,,,,,,,,,,,,,,,,"Junior Caminero","28163",691406
"Ronald Acuña Jr.","ATL",24.979999542236328,115.41291809082031,92.58219909667969,25.437400817871094,15.740799903869629,4.74370002746582,0.30970001220703125,4.6433000564575195,18.724000930786133,12.940400123596191,20.635799407958984,2.6545000076293945,22.460500717163086,0.8079000115394592,0.7188000082969666,0.6680999994277954,,4.689300060272217,1.8509000539779663,0.2747547699888603,0.17879973705993932,0.19460993698719714,0.9187595444918214,0.4085687691041323,0.48314363514461633,0.3818080188379381,0.8917124042487486,0.20838886515575605,,0.3141235775164808,,,20.079371095651894,6.4424453180015036,146.98994819253875,,,,,,5.260000228881836,,,,,,,177.0945343852043,7.089453067674074,177.0945343852043,7.089453067674074,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Yordan Alvarez","HOU",25.290000915527344,114.00288391113281,98.71530151367188,28.753599166870117,17.824800491333008,5.322000026702881,0.12210000306367874,5.4847002029418945,16.96489906311035,16.181100845336914,12.25529956817627,0.5699999928474426,20.276100158691406,1.8240000009536743,0.8133999705314636,0.39480000734329224,,0.42890000343322754,0.1972000002861023,0.29127803619064874,0.10749990831573598,0.17785602840097423,0.6044209425017563,0.3770236104752178,0.514346819461067,0.38179304449581547,0.8913704299362848,0.22306878327041824,,0.31543393006757064,,,19.832669388753704,6.36235001678502,146.97966168758313,,,,,,33.38999938964844,,,,,,,172.49145453646776,6.82053967149376,172.49145453646776,6.82053967149376,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Yandy Díaz","TBR",26.399999618530273,117.38722229003906,101.49490356445312,30.489599227905273,20.190500259399414,5.952600002288818,0.2538999915122986,4.092599868774414,16.055200576782227,15.206000328063965,13.84000015258789,2.3477001190185547,14.808099746704102,0.9391000270843506,0.7681999802589417,0.3449999988079071,,0.33709999918937683,0.16760000586509705,0.30040522387947505,0.11790039735664049,0.12614745845264497,0.9346236444462306,0.38677244589633725,0.4850273066405751,0.3717182846613687,0.8717997525369123,0.18462208276110004,,0.31665352862831675,,,19.46123272234529,5.591027687289217,140.0588857286118,,,,,,138.63999938964844,,,,,,,170.93557135760787,6.474832341953046,170.93557135760787,6.474832341953046,,,,,,,,,,,,,,,,,,,"Yandy Diaz","16578",650490
"Ketel Marte","ARI",26.989999771118164,124.31486511230469,111.14099884033203,32.066001892089844,19.239999771118164,6.548900127410889,0.304500013589859,5.972599983215332,18.738000869750977,16.354400634765625,10.691100120544434,0.9944999814033508,17.593599319458008,0.9944999814033508,0.7897999882698059,0.6984999775886536,,0.6859999895095825,0.2761000096797943,0.28851640912600285,0.08600017472477013,0.14152450154343282,0.6076698648422889,0.3539304038343507,0.5141370025085168,0.3690254376551357,0.8680674063428675,0.22562059338251395,,0.2952924819312741,,,20.337949295409228,5.64918986848718,138.20905594326996,,,,,,32.63999938964844,,,,,,,180.88563230335714,6.701950123649937,180.88563230335714,6.701950123649937,,,,,,,,,,,,,,,,,,,"Ketel Marte","13613",606466
"Juan Soto","NYM",29.219999313354492,130.71607971191406,108.47019958496094,27.90169906616211,17.468000411987305,4.088699817657471,0.31520000100135803,6.029799938201904,18.63010025024414,17.547000885009766,20.339399337768555,0.3921000063419342,24.210599899291992,0.6535999774932861,0.9520000219345093,0.30090001225471497,,2.948499917984009,1.3747999668121338,0.2572291668395768,0.15559982660583668,0.18521516214875688,0.8401030714799989,0.37491564469114064,0.4675035170687079,0.3659551666267599,0.8424191617598485,0.2102743502291311,,0.2762238190045817,,,21.059345052120555,5.614232785103149,136.09995773449103,,,,,,4.650000095367432,,,,,,,182.84501196444035,6.25752964617197,182.84501196444035,6.25752964617197,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Bobby Witt Jr.","KCR",20.829999923706055,94.39584350585938,82.21890258789062,23.751100540161133,13.987199783325195,5.562399864196777,0.44190001487731934,3.7595999240875244,14.2121000289917,12.105500221252441,10.553500175476074,3.5869998931884766,15.128299713134766,0.5663999915122986,0.6632000207901001,0.3939000070095062,,4.265699863433838,1.9164999723434448,0.28887639937509024,0.11180047535483904,0.16026446876546757,0.6975998873365302,0.3709601889054145,0.5044594119748017,0.36379332114557916,0.8754196008802162,0.21558301259971147,,0.312395493463523,,,15.042196611993752,3.8886001784027338,134.6148952139919,,,,,,3.0999999046325684,,,,,,,140.8756197333336,6.763111869866447,140.8756197333336,6.763111869866447,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Julio Rodríguez","SEA",24.479999542236328,110.01271057128906,97.71150207519531,27.658899307250977,16.912200927734375,5.236100196838379,0.2538999915122986,5.256800174713135,16.052900314331055,15.928099632263184,10.297200202941895,1.8702000379562378,22.26849937438965,0.8801000118255615,0.7900999784469604,0.33379998803138733,,2.946000099182129,1.2446000576019287,0.2830669749193464,0.09360009538415319,0.2024175139286246,0.462411051136405,0.35408997280969534,0.5032498830788471,0.3622521881236408,0.8573398558885424,0.2201829081595007,,0.3156278693315287,,,17.393126816738878,4.394277177756142,133.55622616946147,,,,,,9.489999771118164,,,,,,,158.86859688162804,6.489730386127077,158.86859688162804,6.489730386127077,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Iván Herrera","STL",25.40999984741211,114.15999603271484,94.52069854736328,25.970699310302734,17.1018009185791,4.778500080108643,0.2581000030040741,3.8322999477386475,16.13089942932129,13.182000160217285,16.7814998626709,2.625699996948242,19.707599639892578,1.5981999635696411,0.8052999973297119,0.45419999957084656,,1.0410000085830688,0.45680001378059387,0.2747620331782578,0.1469998287128691,0.17263139737885913,0.8515242936385514,0.39004552781393864,0.4524120275871161,0.36219730993089055,0.8424575554010547,0.17764999440885826,,0.3083939604491669,,,18.043730570866693,4.554847190845654,133.5185280324042,,,,,,178.42999267578125,,,,,,,158.1056168049574,6.2221809427149495,158.1056168049574,6.2221809427149495,,,,,,,,,,,,,,,,,,,"Ivan Herrera","20599",671056
