Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",33.22999954223633,148.18051147460938,106.90180206298828,30.257600784301758,15.892399787902832,5.1479997634887695,0.19580000638961792,9.021400451660156,26.048099517822266,22.6830997467041,39.06039810180664,16.744400024414062,33.6526985168457,0.8891000151634216,1.0465999841690063,0.2827000021934509,,2.4437999725341797,0.9884999990463257,0.2830410732129051,0.2636001030979004,0.22710610310325505,1.1606914102966803,0.4746997680383603,0.5880293870411173,0.42112780085131224,1.0627291550794775,0.3049883138282122,,0.32533783328262145,,,30.510732566518765,13.002063085660678,174.00035901540846,,,,,,1.850000023841858,,,,,,,285.1111002266407,8.579930910449033,285.1111002266407,8.579930910449033,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Vladimir Guerrero Jr.","TOR",29.059999465942383,128.8600311279297,103.3864974975586,31.620800018310547,19.782800674438477,6.1427998542785645,0.08470000326633453,5.610499858856201,19.43239974975586,18.470500946044922,23.6200008392334,7.473899841308594,14.805000305175781,0.7731999754905701,0.9236999750137329,0.1565999984741211,,0.8535000085830688,0.41659998893737793,0.30585038456358626,0.18329966734047992,0.11489210560936207,1.5954069809087352,0.43521772990016994,0.529706500885308,0.39953256476218735,0.964924230785478,0.22385611632172175,,0.310035091536191,,,24.273259270076608,9.047453448110613,159.16568372688008,,,,,,18.049999237060547,,,,,,,218.36036336570976,7.51412138261127,218.36036336570976,7.51412138261127,,,,,,,,,,,,,,,,,,,"Vladimir Guerrero Jr.","19611",665489
"Ronald Acuña Jr.","ATL",36.84000015258789,169.92831420898438,138.33250427246094,38.7239990234375,24.060199737548828,7.140500068664551,0.5493000149726868,6.973899841308594,27.48390007019043,19.67300033569336,28.46299934387207,2.718899965286255,32.02399826049805,1.1894999742507935,1.020799994468689,0.9225000143051147,,5.447500228881836,2.0148000717163086,0.2799342007657605,0.167500039509997,0.18845592866362285,0.8888021761786532,0.404580771139908,0.49073570699858116,0.3843367005773237,0.8953164781384891,0.21080150623282068,,0.3163765699865522,,,29.91275134623276,9.834411358627102,148.7270059564364,,,,,,5.260000228881836,,,,,,,261.58131723999975,7.1004700368228555,261.58131723999975,7.1004700368228555,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Yordan Alvarez","HOU",33.41999816894531,150.83807373046875,130.37770080566406,38.40890121459961,23.867900848388672,7.392399787902832,0.19529999792575836,6.9532999992370605,22.786399841308594,21.102500915527344,16.637399673461914,0.7541999816894531,25.827800750732422,2.2625999450683594,1.027500033378601,0.532800018787384,,0.833299994468689,0.3589000105857849,0.2945971663655154,0.11029973574968306,0.1712286567440784,0.6441663320091283,0.38128355278902426,0.5142888699568698,0.3838775276015018,0.8955724227458941,0.21969170359135443,,0.3189443674208754,,,26.49603280341774,8.673351859786301,148.41158074091788,,,,,,33.38999938964844,,,,,,,229.90268417745827,6.879194996219046,229.90268417745827,6.879194996219046,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Fernando Tatis Jr.","SDP",32.66999816894531,148.62307739257812,124.55400085449219,34.69240188598633,20.958900451660156,7.297399997711182,0.30169999599456787,6.134500026702881,23.048799514770508,18.342300415039062,21.535499572753906,3.1210999488830566,27.53890037536621,0.891700029373169,0.965399980545044,0.6765000224113464,,4.868299961090088,1.7552000284194946,0.2785330189956327,0.14490010535759057,0.1852935685258623,0.7820028860708469,0.38608255491732757,0.48972172811322284,0.37275146336169324,0.8758042830305504,0.21118870911759013,,0.31093244915031254,,,24.764391477107857,7.203429422117744,140.76861960098452,,,,,,14.010000228881836,,,,,,,221.8867085814476,6.7917576069031895,221.8867085814476,6.7917576069031895,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Yandy Díaz","TBR",35.59000015258789,158.95358276367188,137.24090576171875,41.051700592041016,27.31529998779297,7.986400127410889,0.4401000142097473,5.309899806976318,21.726200103759766,19.77680015563965,19.106199264526367,3.1791000366210938,20.476299285888672,1.1126999855041504,0.9975000023841858,0.49630001187324524,,0.602400004863739,0.27959999442100525,0.29912146356215435,0.12019986547225536,0.12881936304847127,0.9330884940568086,0.38666945545114856,0.47979863691278957,0.3698801363364,0.8664680923639381,0.1806771733506352,,0.3178399236713816,,,26.115157217948013,7.333566334559626,138.79618438927358,,,,,,138.63999938964844,,,,,,,229.2491839647293,6.441393171729438,229.2491839647293,6.441393171729438,,,,,,,,,,,,,,,,,,,"Yandy Diaz","16578",650490
"Ketel Marte","ARI",38.2599983215332,176.06008911132812,156.11419677734375,44.99480056762695,27.34469985961914,9.300600051879883,0.25049999356269836,8.098899841308594,26.45599937438965,22.385499954223633,16.514400482177734,1.9366999864578247,25.805700302124023,1.4084999561309814,1.0746999979019165,0.948199987411499,,1.291700005531311,0.49000000953674316,0.2882172249318255,0.09379979622602133,0.14657325480396807,0.6399516497840775,0.3593001842657439,0.5066355331034175,0.36822818673465985,0.8659357173691613,0.21841830817159197,,0.2992749420188322,,,28.68952121802529,7.8866647671696475,137.6613907786045,,,,,,32.63999938964844,,,,,,,255.23686632215976,6.671115460517657,255.23686632215976,6.671115460517657,,,,,,,,,,,,,,,,,,,"Ketel Marte","13613",606466
"Junior Caminero","TBR",37.20000076293945,164.9560089111328,148.16009521484375,40.91109848022461,23.645299911499023,7.428899765014648,0.18799999356269836,9.648900032043457,23.585399627685547,26.097000122070312,14.433699607849121,0.9897000193595886,27.765199661254883,0.8248000144958496,1.1203999519348145,0.4171000123023987,,1.246000051498413,0.5730000138282776,0.2761276470624584,0.0875002960069495,0.1683188132674385,0.5198485796589,0.34137560020077706,0.5241809505978869,0.366946055203492,0.865556550798664,0.24805330353542854,,0.2794601391764015,,,26.708363869261085,7.217540074922987,136.78064074357073,,,,,,16.479999542236328,,,,,,,240.79562478363516,6.473000533471174,240.79562478363516,6.473000533471174,,,,,,,,,,,,,,,,,,,"Junior Caminero","28163",691406
"Juan Soto","NYM",37.779998779296875,170.03924560546875,139.26220703125,35.337501525878906,22.0851993560791,5.505099773406982,0.26820001006126404,7.479000091552734,25.060699462890625,21.390300750732422,28.022499084472656,0.5101000070571899,33.14440155029297,1.0202000141143799,1.1638000011444092,0.5705000162124634,,3.662100076675415,1.607100009918213,0.2537479642122093,0.16480018471436575,0.1949220689157597,0.8454670403975045,0.3798943303119741,0.45824348658331754,0.36579507613277806,0.8381378168952917,0.20449552237110824,,0.2791360137875155,,,27.372501871923614,7.2810544848578855,135.98998484578541,,,,,,4.650000095367432,,,,,,,236.01013918817043,6.246959947428638,236.01013918817043,6.246959947428638,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"William Contreras","MIL",33.29999923706055,149.42581176757812,125.07369995117188,34.87120056152344,22.326099395751953,7.680099964141846,0.14390000700950623,4.721099853515625,20.711000442504883,17.71769905090332,22.279399871826172,2.9885001182556152,25.289899826049805,0.5976999998092651,1.0159000158309937,0.45910000801086426,,1.1553000211715698,0.5214999914169312,0.27880522104276895,0.1491000758723017,0.16924719716688946,0.8809603843854426,0.3876591244601123,0.4557504797681695,0.36261242221343587,0.8434096042282818,0.17694525872540057,,0.3138066189329158,,,23.668083568535774,6.012272260341361,133.80368610589898,,,,,,56.560001373291016,,,,,,,207.04205143153663,6.217479164417321,207.04205143153663,6.217479164417321,,,,,,,,,,,,,,,,,,,"William Contreras","20503",661388
