Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Juan Soto","NYM",94.94999694824219,428.608154296875,336.57110595703125,96.08090209960938,52.714599609375,16.63599967956543,1.3381999731063843,25.392099380493164,76.91829681396484,64.87550354003906,85.07869720458984,7.714900016784668,71.55500030517578,2.5715999603271484,2.981800079345703,1.4048999547958374,,15.499899864196777,4.270400047302246,0.28546984693295585,0.1984999500164903,0.16694736109853217,1.1889972306859993,0.4300791704924414,0.5691801613958348,0.4208715939892224,0.9992593318882762,0.283710314462879,,0.29137308699417247,,,88.16231827072409,37.51896149117568,173.82435975380702,,,,,,4.650000095367432,,,,,,,776.4833999991416,8.177813848929425,776.4833999991416,8.177813848929425,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Shohei Ohtani","LAD",96.75,447.5596618652344,370.306884765625,104.27140045166016,52.29710006713867,17.49720001220703,5.228700160980225,29.24839973449707,83.94550323486328,67.64969635009766,69.05850219726562,14.769499778747559,105.16719818115234,3.1328999996185303,2.7327001094818115,2.3285999298095703,,17.648300170898438,4.086100101470947,0.2815810473457865,0.15430010360956073,0.2349791706939386,0.656654388360819,0.3963398949588642,0.5940240610209181,0.40823830246069914,0.9903639559797823,0.3124430136751316,,0.3143984042556024,,,87.46990468286204,34.58728122191037,165.14602084250717,,,,,,1.2699999809265137,,,,,,,807.7582828521728,8.348922820177496,807.7582828521728,8.348922820177496,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Yordan Alvarez","HOU",84.55999755859375,374.7210388183594,314.3664855957031,94.45580291748047,53.457401275634766,19.023399353027344,1.0002000331878662,20.97480010986328,58.61069869995117,61.18259811401367,51.93629837036133,10.492199897766113,60.326900482177734,5.246099948883057,2.7455999851226807,0.42649999260902405,,3.041100025177002,0.8378999829292297,0.30046397197364455,0.13859989963236813,0.16099149562675164,0.8609144172043909,0.4051307399903053,0.5675032444461843,0.4061355488941536,0.9726339844364895,0.2670392724725397,,0.31161054595246923,,,72.59477504432259,28.31859627489887,163.7015510417252,,,,,,33.38999938964844,,,,,,,647.59729514122,7.658435594117461,647.59729514122,7.658435594117461,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Aaron Judge","NYY",105.80000305175781,474.98956298828125,396.2261047363281,112.3499984741211,61.917701721191406,18.862899780273438,1.1729999780654907,30.396400451660156,78.5988998413086,76.71430206298828,68.9209976196289,4.749899864196777,119.97730255126953,5.224899768829346,3.356100082397461,1.2615000009536743,,6.661600112915039,1.6239999532699585,0.2835502182494647,0.14510002532693397,0.25258934490362595,0.5744503014657886,0.39367707972919835,0.5672218471625836,0.4055352194780327,0.960898926891782,0.2836716289131189,,0.3288555463610847,,,91.78829962678405,35.664621941651646,163.2891595347488,,,,,,1.850000023841858,,,,,,,810.5960927128792,7.661588557009135,810.5960927128792,7.661588557009135,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Nick Kurtz","ATH",96.68000030517578,438.2034606933594,373.55828857421875,99.7572021484375,50.661800384521484,19.070499420166016,1.4617999792099,28.563100814819336,71.65460205078125,65.04560089111328,56.834999084472656,3.5055999755859375,119.8375015258789,3.0673999786376953,2.765899896621704,1.9768999814987183,,3.712899923324585,0.8708999752998352,0.26704588065543,0.12970002335112538,0.2734745666687861,0.4742672232047423,0.3660015362982015,0.5553098639934104,0.3886612958854635,0.9213114002916118,0.2882639833379804,,0.31235951725051836,,,78.67625448561238,26.899138302808055,151.69775223055817,,,,,,19.8700008392334,,,,,,,701.535086429119,7.256258628616928,701.535086429119,7.256258628616928,,,,,,,,,,,,,,,,,,,"Nick Kurtz","35110",701762
"Vladimir Guerrero Jr.","TOR",110.4800033569336,490.2117004394531,431.2589111328125,128.21690368652344,79.42440032958984,24.822999954223633,0.5182999968528748,23.4512996673584,70.55960083007812,75.5199966430664,49.36429977416992,1.4706000089645386,69.77770233154297,5.392300128936768,3.580899953842163,0.6152999997138977,,3.889699935913086,1.2417999505996704,0.2973084158417243,0.10069996234263076,0.142341976474634,0.7074509209205477,0.3737231308941449,0.5204077947247626,0.38263612285007814,0.8941309256189075,0.22309937888303832,,0.3066811741084362,,,85.61590617027868,27.693615625921346,147.5588076425825,,,,,,18.049999237060547,,,,,,,750.3221659600734,6.791474865691015,750.3221659600734,6.791474865691015,,,,,,,,,,,,,,,,,,,"Vladimir Guerrero Jr.","19611",665489
"Ronald Acuña Jr.","ATL",108.83999633789062,500.40179443359375,426.60260009765625,121.08930206298828,76.49980163574219,19.980899810791016,1.7228000164031982,22.885700225830078,80.2583999633789,62.2765998840332,62.29999923706055,0.5004000067710876,99.78230285644531,6.004799842834473,3.104300022125244,2.3901000022888184,,18.93630027770996,4.0725998878479,0.2838456728469751,0.12449995169897042,0.19940436658383529,0.6243592045243758,0.3803005058862005,0.4996987879611034,0.37978321729582726,0.8799992938473039,0.2158531151141283,,0.3198409152217682,,,86.23654039894444,27.11021171254805,145.59902691356038,,,,,,5.260000228881836,,,,,,,763.8777312040329,7.01835498811114,763.8777312040329,7.01835498811114,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Bryce Harper","PHI",92,406.8877258300781,346.3841857910156,96.8114013671875,54.25419998168945,23.650999069213867,0.48429998755455017,18.421899795532227,57.95840072631836,60.07809829711914,53.912601470947266,6.917099952697754,83.06289672851562,3.2551000118255615,3.0027999877929688,0.3330000042915344,,7.069499969482422,1.9134000539779663,0.2794914009890649,0.1324999454357144,0.20414205554876783,0.649057564741045,0.3787414280895712,0.5101176800592057,0.37692019677891214,0.8888591081487769,0.23062627907014077,,0.3162114130871875,,,69.17502060863742,21.098099855144508,143.63229779156578,,,,,,47.900001525878906,,,,,,,619.8515614122152,6.737516971871905,619.8515614122152,6.737516971871905,,,,,,,,,,,,,,,,,,,"Bryce Harper","11579",547180
"Kyle Tucker","LAD",83.55999755859375,376.71319580078125,315.1654052734375,85.939697265625,50.36920166015625,17.017799377441406,1.8083000183105469,16.744400024414062,61.20119857788086,51.20709991455078,55.03779983520508,5.27400016784668,56.66669845581055,2.63700008392334,2.608799934387207,1.26419997215271,,13.99489974975586,2.508500099182129,0.27268125190029574,0.14610000511983906,0.1504239805971061,0.9712547463502624,0.38251399051168633,0.4975396980248544,0.3756253032120872,0.8800536885365408,0.2248584461245587,,0.2831658926252943,,,63.64899586454914,19.13742839379012,142.7427809778679,,,,,,13.130000114440918,,,,,,,575.7440969467164,6.890188053715469,575.7440969467164,6.890188053715469,,,,,,,,,,,,,,,,,,,"Kyle Tucker","18345",663656
"Corey Seager","TEX",81.02999877929688,360.6929931640625,310.0184020996094,87.68779754638672,52.1338005065918,17.53860092163086,0.4779999852180481,17.537399291992188,52.02130126953125,52.9463005065918,44.22100067138672,9.378000259399414,60.267601013183594,3.2462000846862793,2.611299991607666,0.5960999727249146,,2.089900016784668,0.5860000252723694,0.2828470727947707,0.12260011009216538,0.16708836089247417,0.7337441664836357,0.3753295216753816,0.512210237837609,0.3731945042323408,0.8875397595129906,0.22936316504283827,,0.2987351744549921,,,60.23038661211178,17.61172955306194,141.07296299544797,,,,,,95.08999633789062,,,,,,,544.2029723227023,6.716067882525328,544.2029723227023,6.716067882525328,,,,,,,,,,,,,,,,,,,"Corey Seager","13624",608369
