Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Mason Miller","SDP",3.9997000694274902,2.463900089263916,0,2.460100000554865,66,0,31.61400032043457,1.9855999946594238,,66,263.8940124511719,42.035675048828125,19.715665817260742,18.040733337402344,5.502933502197266,25.18633270263672,1.688921570777893,2.407241106033325,102.54273223876953,13.983099850741299,3.434499913995916,4.071364158071115,0.7504000230268999,0.3885754408988076,0.09544109193192449,0.29313434896688306,0.17789080414033323,1.0185152689615886,0.28484508389156105,0.7981857770020839,0.37400000511721687,,2.365945295131568,,,27.860000610351562,,,,,,,599.73830742836,9.08694405194485,546.779009103775,8.284530440966288,4.22,3.51,3.07,2.74,2.46,2.21,1.98,1.73,1.44,3.29,3.05,2.9,2.77,2.65,2.54,2.43,2.3,2.14,"Mason Miller","31757",695243
"Garrett Crochet","BOS",14.096699714660645,8.423399925231934,21.53849983215332,2.7897999757100362,32,32,0,0,,192.8553009033203,768.0419921875,151.10458374023438,65.73580169677734,59.78085708618164,19.101245880126953,45.700279235839844,0.4892427623271942,5.963846206665039,247.40335083007812,11.545599975947397,2.13270006681718,5.4136069837414755,0.8913999880528192,0.32212216694745543,0.059502318493912715,0.2626198484535427,0.21092860451818257,1.0204794063437947,0.2934233853233805,0.7707083243409053,0.44599999205314855,,2.6606970445004356,,,12.239999771118164,,,,,,,1139.126309967041,5.906637280030445,1055.7746334075928,5.474439273706352,4.11,3.68,3.39,3.17,2.97,2.79,2.6,2.4,2.15,3.58,3.39,3.25,3.14,3.04,2.95,2.85,2.74,2.59,"Garrett Crochet","27463",676979
"Jhoan Duran","PHI",4.080999851226807,2.7755000591278076,0,2.7280999864850726,70,0,28.610000610351562,3.126199960708618,,70,285.1319885253906,56.56733703613281,23.780555725097656,21.218555450439453,4.84244441986084,22.287221908569336,2.300729990005493,3.253641366958618,84.08477783203125,10.810900006975446,2.8654999596732003,3.7727796751420613,0.6225999968392508,0.29489773584118084,0.07816457923164481,0.21673315660953602,0.2179093641267027,1.1264936992100307,0.30308045056772814,0.7641193024074892,0.547999995130151,,2.7266336270741056,,,41.84000015258789,,,,,,,558.4646260738373,7.978066086769104,534.14999127388,7.630714161055429,4.66,3.93,3.48,3.13,2.84,2.57,2.32,2.05,1.73,3.66,3.43,3.27,3.14,3.02,2.91,2.8,2.67,2.5,"Jhoan Duran","21029",661395
"Tarik Skubal","DET",14.054400444030762,8.88070011138916,22.64859962463379,2.7935999144807284,32,32,0,0,,199.76480102539062,795.2420043945312,159.0563507080078,68.05320739746094,62.00699234008789,20.90427589416504,42.61648941040039,0.3634255826473236,7.102306365966797,247.9813690185547,11.172300173559208,1.9199999335461182,5.818906541795903,0.9417999671702547,0.31183132637386124,0.05358933403278548,0.25824199234107575,0.21334862398559074,1.009551427895323,0.289847224251127,0.7750250626599412,0.42800000253276377,,2.759440681645053,,,7.019999980926514,,,,,,,1154.3967729568483,5.77877968006046,1073.8747692108154,5.375695636561734,4.08,3.66,3.38,3.17,2.97,2.79,2.61,2.42,2.17,3.54,3.36,3.24,3.14,3.04,2.95,2.86,2.76,2.62,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",13.662699699401855,8.947199821472168,21.555500030517578,2.8369998297774868,32,32,0,0,,193.98150634765625,779.9819946289062,153.1806640625,67.33528900146484,61.14727783203125,18.0963191986084,51.83616638183594,0.49918848276138306,7.120455741882324,241.877685546875,11.222199532879218,2.404999869422656,4.666195485313359,0.839600000298912,0.31010675530010623,0.06645815767388084,0.24364859762622537,0.2124483685369863,1.0568885369768293,0.2929919620893441,0.7662512329294314,0.4460000030127022,,2.7658570168474927,,,9.649999618530273,,,,,,,1121.4941989898684,5.781449067520445,1041.5408868789673,5.3692793013592945,4.18,3.74,3.45,3.23,3.03,2.84,2.65,2.45,2.19,3.66,3.46,3.32,3.2,3.1,3,2.89,2.78,2.62,"Paul Skenes","33677",694973
"Edwin Díaz","LAD",3.94320011138916,2.520900011062622,0,2.8991000435569068,66,0,35.77899932861328,2.9595000743865967,,66,268.1839904785156,47.76625061035156,23.214399337768555,21.260066986083984,5.788933277130127,23.864133834838867,1.3430655002593994,3.216062545776367,90.41486358642578,12.329299579967152,3.254200068387118,3.7887343497223673,0.7893999923359264,0.3371374384619315,0.0889841850449706,0.2481532534169609,0.19811488570335828,1.085308855230158,0.28969853784974325,0.7621458646545588,0.4209999976245621,,2.7664544177777843,,,33,,,,,,,583.3260040760041,8.838272789030365,545.066002368927,8.25857579346859,4.85,4.08,3.6,3.24,2.93,2.65,2.39,2.11,1.77,3.81,3.56,3.39,3.25,3.13,3.01,2.89,2.75,2.57,"Edwin Diaz","14710",621242
"Aroldis Chapman","BOS",3.587599992752075,2.4853999614715576,0,2.8153000185566563,62,0,31.077999114990234,1.9342999458312988,,62,254.51600646972656,43.22190856933594,21.22260093688965,19.394289016723633,5.690222263336182,27.625133514404297,1.3438445329666138,2.0272200107574463,88.56631469726562,12.856400520570817,4.010100026284495,3.2060049465855207,0.8260000059681554,0.347979350791048,0.1085398670896173,0.23943948370143073,0.19221385049717815,1.1426942271571006,0.28736325753191116,0.7891835928859714,0.4019999927457862,,2.9060608440829863,,,64.55000305175781,,,,,,,527.7360680580139,8.511872065451836,487.329874753952,7.860159270225033,4.77,3.99,3.51,3.14,2.84,2.56,2.29,2.02,1.69,3.7,3.46,3.3,3.16,3.05,2.93,2.81,2.68,2.51,"Aroldis Chapman","10233",547973
"Félix Bautista","BAL",0.6377000212669373,0.4397999942302704,0,2.912100076675415,11,0,0,0.6610999703407288,,11,45.17499923706055,7.666649341583252,3.8859333992004395,3.5592334270477295,0.9851111173629761,4.916755676269531,0.23784637451171875,0.3720613121986389,15.553755760192871,12.725800167430531,4.02280009876598,3.163418478421101,0.8060000051151622,0.3443000779827999,0.10883798028348246,0.23546209769931742,0.1922131652962052,1.1439459107138894,0.28618015039575156,0.7762654388153399,0.4020000160018844,,2.913807588273829,,,999,,,,,,,67.2353054046631,6.112300491333008,60.07901591062546,5.461728719147769,6.42,4.53,3.52,2.84,2.32,1.9,1.53,1.19,0.84,3.86,3.59,3.41,3.27,3.14,3.01,2.88,2.74,2.55,"Felix Bautista","20666",642585
"Griffin Jax","TBR",3.6942999362945557,2.9672000408172607,0,3.0243000984191895,68,0,12.1899995803833,11.534600257873535,,68,277.5509948730469,55.12440490722656,25.033823013305664,22.85026741027832,6.4819111824035645,21.195600509643555,2.015852928161621,2.4790854454040527,82.92146301269531,10.974899516386145,2.8053000674528232,3.9122016370787787,0.8579000094357658,0.2987611809881063,0.07636650886205082,0.22239467212605546,0.21713095303048327,1.1223530208363253,0.2957477095351559,0.7626727772093318,0.4470000067346241,,2.9799301007214716,,,149.2100067138672,,,,,,,482.05630679130553,7.089063335166258,457.6424217224121,6.730035613564884,5.01,4.24,3.76,3.39,3.09,2.8,2.53,2.25,1.9,3.94,3.7,3.53,3.4,3.28,3.16,3.04,2.91,2.73,"Griffin Jax","20253",643377
"Cade Smith","CLE",3.84060001373291,3.0167999267578125,0,3.0046001161847795,70,0,29.937000274658203,3.290800094604492,,70,285.5979919433594,55.2175178527832,25.456666946411133,23.369112014770508,6.853000164031982,22.00022315979004,1.6613235473632812,3.1304397583007812,87.0014419555664,11.185899680001395,2.8286001205444338,3.9545708842890077,0.8811000210898263,0.30462903945354347,0.07703213531050732,0.22759690414303616,0.21199402650390145,1.1031105858939034,0.2902807735162368,0.765429811377596,0.40500000794734176,,2.999109275000436,,,39.90999984741211,,,,,,,551.6016484737396,7.880023549624852,522.3700947761536,7.462429925373622,4.94,4.19,3.71,3.35,3.05,2.77,2.5,2.22,1.88,3.91,3.66,3.5,3.36,3.24,3.12,3,2.86,2.68,"Cade Smith","27867",671922
"Chris Sale","ATL",11.918000221252441,7.627399921417236,17.845399856567383,3.155300090909066,27.540000915527344,27.540000915527344,0,0,,168.53489685058594,684.822998046875,138.3479461669922,64.30729675292969,59.086463928222656,18.267311096191406,43.66739273071289,0.5225199460983276,8.598637580871582,202.27183532714844,10.801599858326355,2.331900051090515,4.63210241505633,0.9755000473965703,0.2953636719327923,0.06376449513998934,0.23159917679280295,0.2187122318204981,1.0799860580747866,0.29144524547127354,0.7524112245080642,0.41300000684037796,,3.074196206330963,,,39.36000061035156,,,,,,,910.5112298965454,5.402508601549483,852.9450197219849,5.060940111875824,4.61,4.12,3.8,3.55,3.32,3.12,2.91,2.68,2.4,3.99,3.78,3.63,3.52,3.41,3.3,3.2,3.07,2.91,"Chris Sale","10603",519242
"Zack Wheeler","PHI",10.859399795532227,7.328100204467773,16.23889923095703,3.134200170399305,25.920000076293945,25.920000076293945,0,0,,154.8271942138672,628.6119995117188,129.64492797851562,58.81369400024414,53.9177131652832,16.72477912902832,38.15114212036133,0.490945965051651,6.865071773529053,178.04783630371094,10.349800207061273,2.2177000676570984,4.666907107053199,0.9722000900780594,0.28323963978099614,0.06069108154154812,0.22254855823944802,0.22214849930978509,1.0837635529782674,0.29041517457854843,0.7548229322454387,0.41600000349542426,,3.111723749976846,,,110.48999786376953,,,,,,,823.976672077179,5.321911801482346,777.7608733177185,5.023412568229942,4.61,4.11,3.79,3.53,3.31,3.1,2.89,2.66,2.37,3.92,3.73,3.6,3.5,3.4,3.3,3.2,3.09,2.94,"Zack Wheeler","10310",554430
"Cristopher Sánchez","PHI",13.631999969482422,9.222800254821777,21.267799377441406,3.1069002041028275,32,32,0,0,,198.05499267578125,813.0330200195312,183.8511505126953,76.2951889038086,68.37078857421875,16.66522789001465,48.87337112426758,0.4959501326084137,6.682318210601807,192.55567932128906,8.750100618410302,2.220900034761889,3.9398894508768088,0.7573000255321142,0.23683623491289857,0.06011240616413526,0.1767238287487633,0.24271505306504365,1.1750500125888577,0.3049411105181604,0.7470602235295334,0.5459999938817179,,3.1260664732939647,,,24.75,,,,,,,1001.0559420585632,5.054434268654392,992.0712914466858,5.009069844912823,4.55,4.11,3.81,3.58,3.37,3.18,2.99,2.77,2.5,3.97,3.78,3.65,3.54,3.45,3.35,3.25,3.14,2.99,"Cristopher Sanchez","20778",650911
"Justin Martinez","ARI",1.1403000354766846,0.8187999725341797,0,2.956100106239319,20,0,0,0.6468999981880188,,20,83.89299774169922,15.113324165344238,7.293111324310303,6.569111347198486,1.4988888502120972,9.862444877624512,0.6444660425186157,0.9298700094223022,25.901111602783203,11.655500221252442,4.43810019493103,2.6262363870389303,0.6744999825954437,0.30873985076240745,0.11755981003313652,0.19118004072927092,0.20674668929419404,1.2487884521484376,0.2979044206709369,0.7729338105359846,0.49799999286105545,,3.1381501436233523,,,999,,,,,,,112.28190284967422,5.614095142483711,102.52732348442078,5.1263661742210385,6.02,4.57,3.75,3.16,2.7,2.3,1.94,1.59,1.21,3.96,3.7,3.52,3.37,3.24,3.12,2.99,2.84,2.65,"Justin Martinez","24453",679885
