Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Mason Miller","SDP",3.221299886703491,1.8489999771118164,0,2.191100042188824,51.629600524902344,0,25.006999969482422,1.1805000305175781,,51.629600524902344,205.12399291992188,30.612707138061523,13.894672393798828,12.569513320922852,3.581946849822998,20.755098342895508,1.3429468870162964,1.8922688961029053,84.07479095458984,14.655800372236946,3.617999813807641,4.050801859166749,0.6243999821935086,0.4098730224475091,0.10118318216922614,0.30868984027828295,0.16776234777373927,0.9949293614267063,0.2850747970029477,0.8084281168610861,0.39500000232462884,,2.0961553731845144,,,27.860000610351562,,,,,,,488.3725392341614,9.459157813909604,441.5471737384796,8.552209764348449,4.01,3.25,2.8,2.46,2.18,1.93,1.7,1.46,1.18,3,2.78,2.63,2.51,2.4,2.3,2.2,2.08,1.93,"Mason Miller","31757",695243
"Tarik Skubal","DET",6.285799980163574,3.9948999881744385,9.857099533081055,2.7566998962104625,14.640000343322754,14.640000343322754,0,0,,87.92330169677734,350.2919921875,70.28608703613281,29.643829345703125,26.930906295776367,8.690730094909668,18.879085540771484,0.12470395117998123,3.166639566421509,107.76660919189453,11.031199511501063,1.9324998787343213,5.708253662983864,0.8896000189339328,0.30764793827833364,0.05389528154176622,0.25375265673656744,0.21412608180228593,1.0141244795880142,0.290833697412546,0.7730230257214644,0.43499999303036807,,2.720950873329219,,,7.019999980926514,,,,,,,510.3886691570282,5.804930653277952,476.0330603122711,5.414185444877568,4.44,3.82,3.43,3.12,2.86,2.63,2.4,2.15,1.85,3.49,3.32,3.2,3.11,3.02,2.93,2.84,2.74,2.61,"Tarik Skubal","22267",669373
"Jhoan Duran","PHI",2.978300094604492,2.053499937057495,0,2.7091000485088013,51.20989990234375,0,23.06399917602539,1.5527000427246094,,51.20989990234375,209.61900329589844,40.837974548339844,17.30951499938965,15.414749145507812,3.301900625228882,17.96101951599121,1.7272605895996094,2.4330477714538574,62.185890197753906,10.929000307500509,3.1566001095917513,3.462269507718536,0.5803000139373414,0.29666151074085695,0.0856841184891878,0.21097739225166914,0.2158170873764516,1.1481958405788637,0.3033533210003176,0.765822945606022,0.5509999997634228,,2.739414583857729,,,41.84000015258789,,,,,,,416.88152234554286,8.140643179161207,397.8451659679413,7.7689112208112885,4.85,4,3.48,3.09,2.77,2.48,2.2,1.92,1.58,3.64,3.41,3.26,3.13,3.01,2.9,2.79,2.66,2.49,"Jhoan Duran","21029",661395
"Paul Skenes","PIT",10.191699981689453,6.631800174713135,15.727700233459473,2.8341999919719068,24.098800659179688,24.098800659179688,0,0,,142.93069458007812,575.8690185546875,112.71483612060547,49.554073333740234,45.01046371459961,13.025751113891602,38.810447692871094,0.2844792902469635,5.566925525665283,177.40399169921875,11.170700107375746,2.4437999847551635,4.5710369821836725,0.8202000302975113,0.3080630941814967,0.06739457488141543,0.24066851930008126,0.21207263954133657,1.0601311653780794,0.2922902976534568,0.7650371208185462,0.4399999883413291,,2.768937165421498,,,9.649999618530273,,,,,,,826.0876910209656,5.779638120754693,766.9945721626282,5.366199152785289,4.3,3.8,3.48,3.22,3,2.8,2.59,2.37,2.1,3.63,3.44,3.31,3.2,3.1,3,2.9,2.79,2.64,"Paul Skenes","33677",694973
"Garrett Crochet","BOS",8.077899932861328,5.453000068664551,12.126500129699707,2.888199936267645,19.68000030517578,19.68000030517578,0,0,,113.03009796142578,454.4840087890625,89.30155944824219,39.81171417236328,36.272613525390625,11.135976791381836,29.83241081237793,0.22406060993671417,4.17807149887085,143.07225036621094,11.392100657431438,2.3754000231250845,4.795866189495086,0.8867000288422318,0.3148015058822771,0.06564017706995694,0.24916132881232017,0.21238331030325683,1.0540021853407349,0.2935627843974344,0.7660758750853829,0.43999999462818007,,2.7870400480952706,,,12.239999771118164,,,,,,,651.3792096138001,5.762882819371693,604.4958453178406,5.348096270111517,4.48,3.91,3.55,3.27,3.03,2.8,2.58,2.34,2.05,3.67,3.48,3.35,3.25,3.15,3.06,2.96,2.85,2.7,"Garrett Crochet","27463",676979
"Edwin Díaz","LAD",1.523900032043457,1.0124000310897827,0,2.9669000967165866,25.814800262451172,0,11.326000213623047,0.3499999940395355,,25.814800262451172,105.92900085449219,18.57782745361328,9.288165092468262,8.509992599487305,2.182497978210449,10.42086124420166,0.5787960290908813,1.3455101251602173,35.44744873046875,12.358299709111382,3.6331000141121987,3.401585329637922,0.7609000110089926,0.3346340326494783,0.09837590423906785,0.23625812841041044,0.1972951218035707,1.123335776492328,0.2900150615571417,0.7597570863180084,0.41700001168583933,,2.855323592069887,,,33,,,,,,,209.50822982788085,8.115818356054465,194.32731199264526,7.527748036668073,5.7,4.44,3.72,3.19,2.76,2.39,2.05,1.72,1.34,3.89,3.64,3.47,3.33,3.2,3.08,2.96,2.82,2.64,"Edwin Diaz","14710",621242
"Aroldis Chapman","BOS",2.690700054168701,1.9352999925613403,0,2.8082000419280315,47.074100494384766,0,23.253999710083008,1.455199956893921,,47.074100494384766,194.1999969482422,32.50519561767578,16.085220336914062,14.688165664672852,4.1179375648498535,22.1054744720459,1.0589725971221924,1.6854617595672607,67.53825378417969,12.912499180523351,4.226299985745766,3.0552727501772057,0.7872999737524364,0.3477768014701867,0.1138283976283347,0.233948403841852,0.19074804755674488,1.1601001297143407,0.2874575517107931,0.7887196241674601,0.39800001433949017,,2.9190831079774173,,,64.55000305175781,,,,,,,398.9787002563476,8.475545917312639,367.63181138038635,7.809640705173736,4.96,4.07,3.52,3.11,2.78,2.48,2.19,1.9,1.55,3.69,3.45,3.29,3.16,3.04,2.93,2.81,2.68,2.51,"Aroldis Chapman","10233",547973
"Félix Bautista","BAL",0.3465999960899353,0.24539999663829803,0,2.9134999673914215,6.024700164794922,0,0,0.5098000168800354,,6.024700164794922,24.926000595092773,4.143947601318359,2.1329445838928223,1.950329303741455,0.5104929208755493,2.9315521717071533,0.1380401849746704,0.21643245220184326,8.566119194030762,12.796499516569908,4.379300018868653,2.9220422125533547,0.7625999904073792,0.34366199909813006,0.11761021029118861,0.22605178880694143,0.19028122703195488,1.1744152537865524,0.2860671719092715,0.7770323960046808,0.40199999954087734,,2.9605423108404145,,,999,,,,,,,37.25693911314011,6.1840320835963665,33.214577436447144,5.513067294292106,6.91,4.51,3.31,2.55,1.99,1.56,1.2,0.88,0.57,3.87,3.6,3.42,3.28,3.15,3.02,2.9,2.75,2.57,"Felix Bautista","20666",642585
"Cade Smith","CLE",2.8768999576568604,2.261899948120117,0,2.9674999965343485,52.284000396728516,0,22.716999053955078,2.5957999229431152,,52.284000396728516,213.66600036621094,40.88712692260742,18.79900360107422,17.23919677734375,4.8932013511657715,17.073049545288086,1.3326348066329956,2.337292432785034,65.09358215332031,11.205000285642639,2.938899945330261,3.8126511599847843,0.8422999737267142,0.3046511005108616,0.07990531725228106,0.22474578325858052,0.21048100869685754,1.108564303192113,0.2896455416140317,0.766218096028472,0.40100001321162926,,2.975536426386184,,,39.90999984741211,,,,,,,416.33302965164194,7.962914591319078,393.73271775245667,7.53065401967775,5.09,4.23,3.7,3.3,2.96,2.66,2.37,2.08,1.72,3.85,3.61,3.45,3.32,3.21,3.09,2.97,2.84,2.67,"Cade Smith","27867",671922
"Cristopher Sánchez","PHI",10.321700096130371,6.834499835968018,16.230300903320312,2.9936000552771733,24.098800659179688,24.098800659179688,0,0,,148.62069702148438,608.6019897460938,134.43409729003906,55.31332015991211,49.434547424316406,11.648560523986816,38.50267028808594,0.2909117639064789,5.027052402496338,150.2340545654297,9.09769983714589,2.3316001037371024,3.901912606095721,0.7054000338911496,0.2468510736024815,0.06326412160457953,0.18358695199790198,0.2379060257027842,1.1636116035246795,0.30453543677846556,0.7509695554166186,0.5459999953366326,,3.011010576523466,,,24.75,,,,,,,776.8661516189577,5.227173382901408,761.5511393547058,5.124125741683321,4.53,4.04,3.71,3.46,3.24,3.03,2.82,2.6,2.31,3.82,3.65,3.52,3.42,3.33,3.24,3.15,3.04,2.9,"Cristopher Sanchez","20778",650911
