Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Mason Miller","SDP",2.5411999225616455,1.5408999919891357,0,2.26399998035535,41.555599212646484,0,19.847000122070312,0.9430999755859375,,41.555599212646484,166.0229949951172,24.936655044555664,11.538143157958984,10.45354175567627,2.931516647338867,17.43488311767578,1.0144004821777344,1.5069907903671265,67.02641296386719,14.516400391387528,3.776000130719542,3.8443855637847477,0.6348999972552568,0.4037176474610548,0.10501486928475509,0.29870277817629975,0.16954354753519169,1.019634873880886,0.28532453048318396,0.8057349868114405,0.3919999970589542,,2.193807387103422,,,27.860000610351562,,,,,,,386.8530810117722,9.309288960849406,349.9028843641281,8.42011403983421,4.18,3.34,2.84,2.47,2.17,1.9,1.66,1.41,1.12,3.02,2.81,2.66,2.54,2.44,2.34,2.23,2.11,1.96,"Mason Miller","31757",695243
"Jhoan Duran","PHI",2.4205000400543213,1.621899962425232,0,2.5847000042565016,41.135799407958984,0,18.75200080871582,1.2252999544143677,,41.135799407958984,167.01499938964844,31.816356658935547,13.286406517028809,11.81374454498291,2.596126079559326,13.914870262145996,1.306057333946228,1.9017997980117798,52.02261734008789,11.381900018945606,3.0444001128390283,3.7386347382346914,0.5680000158575558,0.3114847021537171,0.08331509333291916,0.22816960882079795,0.2104279643831348,1.111713582311796,0.30255079584471567,0.770722137944208,0.546000008542327,,2.5797664021182953,,,41.84000015258789,,,,,,,345.0064658880234,8.38701254998028,327.1857863664627,7.9537967190485315,4.87,3.94,3.38,2.97,2.63,2.33,2.04,1.75,1.42,3.53,3.31,3.15,3.03,2.92,2.81,2.7,2.58,2.42,"Jhoan Duran","21029",661395
"Tarik Skubal","DET",6.624899864196777,4.346399784088135,10.582099914550781,2.7924999828256527,15.520000457763672,15.520000457763672,0,0,,94.39929962158203,376.8429870605469,75.96024322509766,32.21323776245117,29.29000473022461,9.438880920410156,20.462621688842773,0.13490979373455048,3.4111828804016113,114.78955078125,10.944000232762916,1.950900016608604,5.6097186629726385,0.8998999846845234,0.30460843036149404,0.05430012602451607,0.250308304336978,0.21520361264674825,1.0214362320533124,0.29081552838769326,0.7716721238129293,0.433000007187171,,2.7616988453574094,,,7.019999980926514,,,,,,,542.917637348175,5.751288828673158,507.24873399734497,5.3734374728493774,4.47,3.85,3.46,3.16,2.9,2.66,2.43,2.18,1.88,3.53,3.36,3.24,3.14,3.05,2.96,2.87,2.77,2.63,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",8.128800392150879,5.21120023727417,12.424200057983398,2.827700176993085,19.160499572753906,19.160499572753906,0,0,,113.06169891357422,455.3429870605469,89.48856353759766,39.10176086425781,35.52273178100586,10.374038696289062,29.932456970214844,0.21993066370487213,4.555251598358154,139.7342071533203,11.12319977909773,2.3827000241510636,4.6683173149590385,0.8257999761525958,0.3068768184075269,0.0657360667031306,0.2411407517043963,0.21263500331576402,1.0562464712218718,0.29220828043501645,0.7656937676449634,0.43700001124278576,,2.771239561440255,,,9.649999618530273,,,,,,,652.3909193992614,5.770220381156285,606.4512801170349,5.3638967567665325,4.38,3.83,3.48,3.2,2.97,2.75,2.53,2.29,2.01,3.6,3.41,3.28,3.18,3.08,2.99,2.9,2.79,2.65,"Paul Skenes","33677",694973
"Garrett Crochet","BOS",5.239099979400635,3.6414999961853027,7.796199798583984,2.919699994953405,13,13,0,0,,73.62419891357422,296.51300048828125,58.41305923461914,26.190582275390625,23.88450813293457,7.335424423217773,19.632301330566406,0.14795999228954315,2.734442949295044,92.74522399902344,11.33740031550027,2.3998999592852734,4.724113716338708,0.896700008735687,0.31278636635255697,0.06621059210974566,0.2465757742428113,0.21307261329226612,1.0600503871940423,0.2934389823528201,0.7650932046221282,0.4370000087226013,,2.822335663035442,,,12.239999771118164,,,,,,,421.10961270332336,5.719717415162023,391.15069222450256,5.312800655171346,4.76,4.06,3.62,3.28,3,2.73,2.48,2.21,1.88,3.7,3.51,3.38,3.27,3.18,3.08,2.98,2.87,2.72,"Garrett Crochet","27463",676979
"Cade Smith","CLE",2.3076999187469482,1.770400047302246,0,2.86259999194418,41.48149871826172,0,19.784000396728516,1.4515000581741333,,41.48149871826172,168.41900634765625,31.750350952148438,14.390853881835938,13.19388198852539,3.7969398498535156,13.032565116882324,0.977167010307312,1.8098305463790894,53.01243591308594,11.50180051251935,2.8276000066580065,4.067690085385714,0.8238000001103537,0.3147651625711166,0.07738179555566348,0.2373833670154531,0.206739495100569,1.0795877066349977,0.2888726863486832,0.7700587316092053,0.3950000033975062,,2.8425367940013477,,,39.90999984741211,,,,,,,343.9335049390793,8.291250691664782,324.27096259593964,7.817243171428214,5.1,4.15,3.57,3.15,2.79,2.48,2.19,1.88,1.53,3.71,3.48,3.33,3.2,3.09,2.98,2.86,2.74,2.57,"Cade Smith","27867",671922
"Grant Taylor","CHW",2.954400062561035,2.367000102996826,0.38190001249313354,2.9102559164794046,48.77009963989258,0.9800000190734863,4.8429999351501465,7.1305999755859375,,52.49409866333008,214.8350067138672,40.21192169189453,18.645736694335938,16.974584579467773,4.396256923675537,19.49805450439453,1.1519172191619873,1.7137387990951538,67.73811340332031,11.61355344988047,3.342899392653724,3.4740960124023292,0.7537287680056693,0.3153029594173115,0.09075827446670948,0.22454468495060204,0.2076813052713199,1.1374607378105086,0.294806204909183,0.7667645130244771,0.44099999385628386,,2.855304732134599,,,506.67999267578125,,,,,,,354.40962002277365,6.751418331720926,329.89739978313446,6.284466410194511,5.40557,4.31097,3.67764,3.22014,2.84878,2.51907,2.21562,1.90756,1.54666,3.93258,3.66079,3.489,3.3381,3.20631,3.08452,2.95362,2.81183,2.62004,"Grant Taylor","33927",691799
"Edwin Díaz","LAD",0.9853000044822693,0.6622999906539917,0,2.998300065598031,16.765399932861328,0,0,0.4207000136375427,,16.765399932861328,68.87999725341797,12.142166137695312,6.090311050415039,5.585299968719482,1.4373536109924316,6.754593372344971,0.3528033494949341,0.8751204013824463,22.866701126098633,12.275299781635692,3.6260000116042304,3.3853556928712756,0.7715999946757062,0.3319788333029287,0.09806320618007565,0.23391562712285308,0.19823852965058403,1.1271284661096181,0.28974033050253084,0.7584752536286496,0.4139999887851888,,2.8870859284297956,,,33,,,,,,,99.3419391155243,5.925414216979537,89.66846370697021,5.348423781481879,6.14,4.58,3.71,3.1,2.62,2.21,1.85,1.5,1.12,3.91,3.66,3.49,3.36,3.23,3.11,2.99,2.85,2.67,"Edwin Diaz","14710",621242
"Cristopher Sánchez","PHI",8.446000099182129,5.46750020980835,13.601099967956543,2.908699952740094,19.357999801635742,19.357999801635742,0,0,,121.73799896240234,495.87799072265625,108.924560546875,44.101619720458984,39.34436798095703,9.337305068969727,29.893442153930664,0.23405441641807556,3.9288413524627686,124.94376373291016,9.236999812552208,2.210000013787534,4.1796378981562485,0.6903000405541511,0.25196472936987235,0.06028386561453585,0.1916808637553365,0.23573902203937808,1.1403013347022266,0.3038284351701548,0.7532370970333169,0.5450000008462096,,2.9130551990782947,,,24.75,,,,,,,651.2291594982146,5.349432100484424,635.7257058620453,5.222081119128492,4.51,3.98,3.63,3.36,3.13,2.91,2.69,2.46,2.17,3.71,3.54,3.42,3.33,3.24,3.16,3.07,2.97,2.83,"Cristopher Sanchez","20778",650911
"Félix Bautista","BAL",0.2736999988555908,0.19709999859333038,0,2.9161999849087676,4.79010009765625,0,0,0.4034999907016754,,4.79010009765625,19.802000045776367,3.3031716346740723,1.6966533660888672,1.5520988702774048,0.4084358513355255,2.3006317615509033,0.10209911316633224,0.17229719460010529,6.790711879730225,12.758899745639072,4.322599827107835,2.951672663665421,0.7673999680754737,0.3429306062030152,0.11618178750795491,0.22674881869506028,0.1906144661528701,1.1698718778271173,0.28576087704479475,0.7764617064177335,0.4,,2.9570667985191,,,999,,,,,,,29.611370354890823,6.181785297008592,26.417471274733543,5.515014454010963,7.03,4.45,3.2,2.42,1.86,1.43,1.08,0.77,0.49,3.86,3.6,3.42,3.27,3.14,3.02,2.89,2.75,2.56,"Felix Bautista","20666",642585
