Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Mason Miller","SDP",3.7160000801086426,2.089400053024292,0,2.2037000214952647,59.18519973754883,0,28.906999588012695,1.360200047492981,,59.18519973754883,234.9550018310547,34.79448699951172,15.95896053314209,14.491825103759766,4.240290641784668,23.683286666870117,1.5850064754486084,2.2036428451538086,97.23075866699219,14.785399591171021,3.601400028166209,4.105458842543403,0.644799982855351,0.4138271494935287,0.10079924446085926,0.3130279050326695,0.16642659308790353,0.988047247043112,0.28396878931134795,0.8092445200574798,0.3789999951779486,,2.0930354090569914,,,27.860000610351562,,,,,,,562.1257638931274,9.497742110963907,507.57874727249146,8.57610939091701,3.91,3.21,2.78,2.46,2.19,1.96,1.73,1.5,1.23,2.99,2.77,2.62,2.5,2.39,2.29,2.18,2.06,1.91,"Mason Miller","31757",695243
"Jhoan Duran","PHI",2.955399990081787,2.0339999198913574,0,2.69059989405182,50.839500427246094,0,24.756000518798828,2.7344000339508057,,50.839500427246094,207.59300231933594,40.594810485839844,17.07077407836914,15.198750495910645,3.2972240447998047,17.186010360717773,1.7408748865127563,2.421157121658325,61.68864822387695,10.920599717721634,3.042399943874477,3.589468813825417,0.5837000000750341,0.2971615012773051,0.08278704083811504,0.21437446043919006,0.21594611381781895,1.1365340013371081,0.30323250237035143,0.7657344303132805,0.5510000053473716,,2.7084625461214316,,,41.84000015258789,,,,,,,429.3833368778229,8.44586066482483,410.606986284256,8.07653464006507,4.69,3.92,3.44,3.08,2.78,2.51,2.24,1.97,1.65,3.62,3.39,3.23,3.1,2.99,2.88,2.76,2.64,2.47,"Jhoan Duran","21029",661395
"Tarik Skubal","DET",12.291199684143066,7.62470006942749,19.781299591064453,2.7457998092640437,27.851900100708008,27.851900100708008,0,0,,173.39100646972656,691.0759887695312,137.1855010986328,58.215065002441406,52.89966583251953,17.094425201416016,38.72399139404297,0.2722839415073395,6.343386650085449,214.88539123535156,11.153799499144311,2.0099999973599343,5.549153986962409,0.8872999237108976,0.3109432171387657,0.05603434647323152,0.2549088706655342,0.21235862621798068,1.0145248941927616,0.290054888823739,0.7744211119050827,0.4324324336271274,,2.717922518063467,,,7.019999980926514,,,,,,,1010.718363380432,5.829127957434746,939.2961530685425,5.417213800143321,4.12,3.67,3.38,3.15,2.95,2.77,2.58,2.38,2.12,3.52,3.35,3.22,3.12,3.03,2.95,2.86,2.75,2.62,"Tarik Skubal","22267",669373
"Garrett Crochet","BOS",11.88290023803711,7.688700199127197,18.227500915527344,2.8436999241652177,28.049400329589844,28.049400329589844,0,0,,166.0594024658203,666.3699951171875,130.7817840576172,57.70195007324219,52.469234466552734,16.021041870117188,42.880226135253906,0.3638380169868469,6.22322940826416,210.7386016845703,11.421499698287281,2.3239999029667637,4.914586994477436,0.8682999859687734,0.3162486354859209,0.0643489749680476,0.2518996605178733,0.2118724662249551,1.0457824586512987,0.29387635239589127,0.7667665387656046,0.44700000973180853,,2.738330768815354,,,12.239999771118164,,,,,,,965.9149614334108,5.816683349997138,896.1903047561646,5.396805549391433,4.23,3.77,3.47,3.23,3.02,2.82,2.63,2.42,2.15,3.63,3.44,3.31,3.2,3.1,3.01,2.91,2.8,2.65,"Garrett Crochet","27463",676979
"Paul Skenes","PIT",11.630499839782715,7.7515997886657715,17.922199249267578,2.8478998212863473,27.851900100708008,27.851900100708008,0,0,,163.88070678710938,661.8770141601562,128.68873596191406,57.10696029663086,51.85731506347656,14.833024024963379,46.755165100097656,0.3660179674625397,6.577071666717529,204.28639221191406,11.218999270583122,2.5676999700002403,4.3692796672743945,0.8145999540878909,0.3086470565398458,0.07064026110564428,0.23800679543420153,0.21146962514926715,1.0705586063277333,0.29236850830371486,0.7650551158019091,0.44199999216170316,,2.7949696024793713,,,9.649999618530273,,,,,,,944.2563953399658,5.761852104815548,875.1502957344055,5.340166715727416,4.26,3.79,3.49,3.24,3.03,2.83,2.64,2.42,2.16,3.66,3.47,3.33,3.22,3.12,3.02,2.92,2.8,2.65,"Paul Skenes","33677",694973
"Edwin Díaz","LAD",3.449700117111206,2.227099895477295,0,2.900300207154014,57.851898193359375,0,31.871999740600586,2.5975000858306885,,57.851898193359375,236.7100067138672,41.20647430419922,20.37158203125,18.643096923828125,4.841561317443848,23.03019905090332,1.3243924379348755,3.0149753093719482,80.28429412841797,12.489800157304117,3.582800183415968,3.486044299963137,0.7532000369522248,0.3391673011334281,0.09729288326514225,0.24187441786828584,0.19560205585256826,1.1103641429431272,0.2896702990775783,0.7634223110327836,0.41799999503642954,,2.7981937345064374,,,33,,,,,,,513.5990734577179,8.877825784403944,478.50225806236267,8.271159166861846,4.94,4.12,3.61,3.23,2.91,2.62,2.35,2.06,1.72,3.81,3.56,3.39,3.26,3.13,3.01,2.89,2.76,2.58,"Edwin Diaz","14710",621242
"Félix Bautista","BAL",0.5016999840736389,0.35249999165534973,0,2.8931998618088812,8.703700065612793,0,0,0.5993000268936157,,8.703700065612793,35.98099899291992,5.962771415710449,3.061574935913086,2.7979493141174316,0.7338185906410217,4.2220683097839355,0.20430012047290802,0.31231507658958435,12.434493064880371,12.85780033092675,4.3658001196735965,2.9451188736254026,0.7587999662192183,0.34558498687952327,0.11734160884790118,0.2282433780316221,0.18961568043809296,1.1701735639688902,0.2860742899932025,0.7778618281411074,0.4039999933737644,,2.936807529382035,,,999,,,,,,,53.54124221801758,6.151549549547576,47.64189472794533,5.473751895032823,6.59,4.51,3.43,2.72,2.18,1.76,1.39,1.06,0.72,3.84,3.58,3.4,3.25,3.12,3,2.87,2.73,2.54,"Felix Bautista","20666",642585
"Aroldis Chapman","BOS",3.0922000408172607,2.2418999671936035,0,2.8599999901729554,54.345699310302734,0,27.033000946044922,1.7067999839782715,,54.345699310302734,225.03399658203125,37.657188415527344,18.897207260131836,17.269855499267578,4.82831335067749,26.25440788269043,1.2601903676986694,1.970172643661499,77.61109161376953,12.852899739786876,4.347900090401792,2.956116624703566,0.799599981370731,0.3448860740713819,0.11666862910253632,0.22821744496884555,0.19133834737294153,1.1760193926900404,0.2870409362701071,0.7876263722655137,0.39600000088148574,,2.991971942949573,,,64.55000305175781,,,,,,,457.40187711715714,8.416523900179971,421.50106930732727,7.755923185395832,4.93,4.1,3.58,3.19,2.87,2.58,2.3,2.01,1.67,3.76,3.52,3.36,3.22,3.1,2.99,2.87,2.74,2.56,"Aroldis Chapman","10233",547973
"Cristopher Sánchez","PHI",11.922900199890137,8.011500358581543,18.761699676513672,2.992899881422084,28.049400329589844,28.049400329589844,0,0,,172.1759033203125,705.3499755859375,155.63548278808594,64.07430267333984,57.25613784790039,13.429719924926758,45.07756423950195,0.3773622512817383,5.754245281219482,174.61888122558594,9.127699641607554,2.3562999835160743,3.8737426072495182,0.7019999720836745,0.24756346107551677,0.06390808222833752,0.18365537884717925,0.23778634552456174,1.1657441207332333,0.3048553937043295,0.7511278290453224,0.5469999903517121,,3.0064541133355216,,,24.75,,,,,,,901.0062081336976,5.233056372920456,883.0354914665222,5.128682204871266,4.48,4.02,3.72,3.47,3.26,3.06,2.87,2.65,2.37,3.85,3.67,3.54,3.44,3.34,3.25,3.16,3.05,2.9,"Cristopher Sanchez","20778",650911
"Cade Smith","CLE",3.3345999717712402,2.6034998893737793,0,2.9960999078892683,60.49380111694336,0,26.295000076293945,2.9168999195098877,,60.49380111694336,247.7220001220703,47.42390060424805,21.95185661315918,20.138385772705078,5.705909729003906,20.13368034362793,1.591366171836853,2.747732400894165,75.2764663696289,11.199299511977706,2.995399854976202,3.738832895171747,0.8488999965758796,0.30387477225492615,0.08127530188560818,0.222599470369318,0.21092233016014453,1.116768655639233,0.28999381060258284,0.7655909793303697,0.40200000508170497,,3.0073237508712696,,,39.90999984741211,,,,,,,479.22059159278876,7.921813189857012,453.3434736728668,7.494048403347768,5.08,4.27,3.76,3.38,3.06,2.77,2.49,2.19,1.84,3.93,3.69,3.53,3.4,3.27,3.16,3.04,2.9,2.73,"Cade Smith","27867",671922
"Griffin Jax","TBR",3.146199941635132,2.6191000938415527,0,3.0785998426272747,58.72840118408203,0,7.72599983215332,10.414400100708008,,58.72840118408203,241.8800048828125,47.74953079223633,22.03359031677246,20.089027404785156,5.395182132720947,20.45966911315918,1.954148530960083,2.214169502258301,70.92172241210938,10.86860001021091,3.135399879885404,3.466415904375217,0.8267999505433412,0.29321035629410525,0.0845860290232407,0.20862432727086455,0.21782932298532995,1.1614346471240764,0.29641379729255674,0.7612709628024055,0.45199998845560446,,3.0723973166622898,,,149.2100067138672,,,,,,,398.1901770114899,6.7801978086101355,377.6141667366028,6.429839040790246,5.2,4.38,3.86,3.47,3.14,2.84,2.55,2.25,1.89,4.02,3.78,3.61,3.48,3.36,3.24,3.12,2.99,2.81,"Griffin Jax","20253",643377
"Grant Taylor","CHW",4.568399906158447,3.9763998985290527,1.0551999807357788,3.13993418692249,71.57929992675781,2.819999933242798,4.254000186920166,13.78219985961914,,82.29530334472656,341.3190002441406,66.0666732788086,31.500316619873047,28.711315155029297,7.230923175811768,32.40794372558594,1.922375202178955,2.8612771034240723,100.08222961425781,10.945218377228805,3.544205825555944,3.0882005492759266,0.7907900686591988,0.2932219698952312,0.0949491346875064,0.1982728352077248,0.21586904393482587,1.1966006928961,0.2960488516995766,0.7580452327045674,0.4530000024140895,,3.1308250702799594,,,506.67999267578125,,,,,,,519.0271362781525,6.306886482986778,488.2301125526428,5.932660707349204,5.46449,4.49698,3.90994,3.47579,3.11974,2.7952,2.48724,2.18256,1.81283,4.17501,3.89172,3.69843,3.53678,3.39514,3.26185,3.12856,2.96691,2.77198,"Grant Taylor","33927",691799
