Name,Team,AB,H,1B,2B,3B,HR,BB,IBB,SO,HBP,SF,SH,AVG,BB%,K%,OBP,SLG,wOBA,OPS,ISO,BABIP,wRC+,TBF,NameASCII,PlayerId,MLBAMID
"Santiago Suarez","TBR",1.9480351209640503,0.5355016589164734,0.33188673853874207,0.10906622558832169,0.009925130754709244,0.08462356775999069,0.16413800418376923,0.0027553054969757795,0.35121381282806396,0.018765855580568314,0.026695115491747856,0.0077711171470582485,0.27489322607872824,0.0758001313644195,0.16219310866945713,0.33295984705625203,0.4713923497257226,0.3446537969184639,0.8043521967819747,0.19649912364699434,0.2929886180427056,121.46715161376514,2.1654052734375,"Santiago Suarez","sa3019386",800571
"Kih-Yun Yang",,1.6051430702209473,0.4376997947692871,0.2782866954803467,0.08650540560483932,0.00776989571750164,0.06513778865337372,0.2482154816389084,0.020671872422099113,0.31368309259414673,0.021800512447953224,0.02155550755560398,0.006977600045502186,0.2726858451994799,0.13038634906866464,0.1647761571432436,0.3731271954961883,0.45800175828241335,0.35818638864219,0.8311289537786016,0.18531591308293344,0.2985565069014326,130.76325762553506,1.9036922454833984,"Kih-Yun Yang","sa3011929",692725
"Shohei Tomioka","ATH",1.5855165719985962,0.42024749517440796,0.2849738299846649,0.07833516597747803,0.007036046590656042,0.04990246146917343,0.23314465582370758,0.02018536627292633,0.3235459625720978,0.01717558316886425,0.016239259392023087,0.006813384592533112,0.26505399098078936,0.12542147382610505,0.17405336327744358,0.3620627386153964,0.4177579467071438,0.33954900573785035,0.7798206853225402,0.15270395572635442,0.3015084265464363,117.96045600425148,1.8588894605636597,"Shohei Tomioka","sa3014808",693388
"Armando Vasquez",,1.5942614078521729,0.40627995133399963,0.2814576029777527,0.07075253129005432,0.007003102917224169,0.04706669598817825,0.2650785446166992,0,0.330279141664505,0.03243459388613701,0.02111341990530491,0.012113824486732483,0.25483898019042545,0.1377030070312977,0.17157341433529646,0.36792175090773754,0.3965715754946449,0.3401417742637553,0.7644933264023824,0.14173259530421944,0.29014930847089077,118.36765361796444,1.925001859664917,"Armando Vasquez","sa3018283",684848
"Luis Curvelo","TEX",39.147377014160156,10.076553344726562,6.312791347503662,2.0118963718414307,0.180888831615448,1.5709762573242188,5.019204139709473,0.523865282535553,8.810001373291016,0.5080721974372864,0.5308470726013184,0.16604164242744446,0.25740047260591004,0.1106244952235091,0.1941745997394626,0.3451754661612105,0.43842415314623984,0.3368710322785107,0.7835996193074504,0.1810236805403298,0.29032001693858733,116.12084348338594,45.371543884277344,"Luis Curvelo","24710",681168
"Chris Williams Jr.",,1.598056674003601,0.418993204832077,0.30178770422935486,0.0694717988371849,0.006876335479319096,0.04085735231637955,0.29128986597061163,0,0.2917943298816681,0.034506507217884064,0.018323207274079323,0.012299299240112305,0.2621892024532372,0.14903735692037653,0.14929546397025642,0.3834819709631784,0.39096843545724724,0.3469092812787755,0.7744504064204256,0.12877923300401006,0.29456068098122445,123.01653861585619,1.9544755220413208,"Chris Williams Jr.","sa3020466",680754
"Jaitoine Kelly","ARI",1.9585033655166626,0.5761338472366333,0.36030417680740356,0.1156688928604126,0.010522815398871899,0.08963800221681595,0.3455974757671356,0.0035869718994945288,0.2639283239841461,0.0236892718821764,0.02719234488904476,0.008486548438668251,0.2941704657651412,0.14622466284035238,0.11166988446005027,0.4014554722699584,0.5012819660552968,0.3894078503705995,0.9027374383252553,0.20711150029015563,0.2980743130587422,152.21059188308524,2.363469123840332,"Jaitoine Kelly","sa3024275",823858
"Will Geerdes",,1.610671043395996,0.4523768723011017,0.29611942172050476,0.08658649027347565,0.007777178194373846,0.06189378723502159,0.2902156114578247,0.02117254212498665,0.26668673753738403,0.021917110309004784,0.019848957657814026,0.007146596442908049,0.2808623611605348,0.1488438382201334,0.13677650701860383,0.3935389918574327,0.45955944190193043,0.36950334730945444,0.8530984337593631,0.17869708074139562,0.2999241456149534,138.53735217072548,1.9497992992401123,"Will Geerdes","sa3020333",803177
"Blake Goldsberry",,1.658623456954956,0.43704015016555786,0.2730003297328949,0.08776871860027313,0.007909608073532581,0.06836149841547012,0.22004063427448273,0.016562310978770256,0.3512635827064514,0.019231179729104042,0.022670721635222435,0.0070303319953382015,0.26349570080717044,0.11415286010692739,0.1822288085541919,0.35214200750049257,0.44959727398584054,0.34515808325648994,0.8017392814863331,0.1861015731786701,0.29221501302512765,121.81356709383604,1.9275963306427002,"Blake Goldsberry","sa3014978",688910
"Dylan Dodd","ATL",47.87385177612305,11.556365966796875,8.187760353088379,1.9613573551177979,0.1940690129995346,1.2131792306900024,2.4235193729400635,0,11.491572380065918,0.7909250855445862,0.5618962049484253,0.33391237258911133,0.24139202378866412,0.04662039314256999,0.2210593520179058,0.2859778391448809,0.36649232042434715,0.2847369141204594,0.652470159569228,0.12510029663568303,0.28947378429949805,80.30772659331706,51.98410415649414,"Dylan Dodd","29928",689266
"Eudrys Manon",,1.5728644132614136,0.4029265344142914,0.25402310490608215,0.08023634552955627,0.007206810172647238,0.06146026775240898,0.269327312707901,0.02053181827068329,0.36403632164001465,0.02084733545780182,0.020825210958719254,0.006930326111614704,0.2561737242047475,0.14244134435784983,0.1925308745263737,0.36791460655613495,0.43357665908321974,0.34794474605386216,0.8014912656393547,0.17740293487847225,0.2923029469288383,123.72784288906371,1.8907945156097412,"Eudrys Manon","sa3009631",684875
"Gabriel Colmenarez","MIL",1.8484876155853271,0.5546807050704956,0.3515726625919342,0.10932522267103195,0.009909323416650295,0.08387346565723419,0.4181373417377472,0.01029857899993658,0.21433798968791962,0.025681985542178154,0.025400498881936073,0.008406455628573895,0.3000727191211692,0.1797578934874635,0.0921442350987231,0.43081366283127964,0.5060596202678238,0.4048905699356663,0.9368732830991034,0.20598690114665463,0.2987968608201459,162.84632267033868,2.3261139392852783,"Gabriel Colmenarez","sa3022020",808300
"Michael Caldon","BAL",1.5915451049804688,0.4185875654220581,0.26324498653411865,0.0833701491355896,0.007488287519663572,0.064484141767025,0.2247055172920227,0.020239289849996567,0.337540864944458,0.019096504896879196,0.02167663723230362,0.006831585895270109,0.26300703895363053,0.12055952510087525,0.18109820742388688,0.3566941900845191,0.4463503498640124,0.3457597143495386,0.8030445399485315,0.18334331091038186,0.2923583042093298,122.22685277740186,1.8638553619384766,"Michael Caldon","sa3067147",828511
"Griff McGarry","LAD",1.5319976806640625,0.35942867398262024,0.23275235295295715,0.07071411609649658,0.006351525895297527,0.04961066693067551,0.2785049378871918,0.020149577409029007,0.4465945065021515,0.020924974232912064,0.01736464537680149,0.006801304407417774,0.23461437214893277,0.15008940727735534,0.240674744522415,0.35637243196028584,0.38621326782823534,0.3274645077813173,0.7425856997885212,0.15159889567930257,0.2941802239909892,109.65910646261202,1.8555935621261597,"Griff McGarry","sa3017130",676046
"Gabe Starks","CIN",1.6040719747543335,0.4508943259716034,0.28936558961868286,0.0876762643456459,0.007875061593949795,0.06597738713026047,0.36545535922050476,0.02189665101468563,0.2685689926147461,0.018307046964764595,0.021257765591144562,0.007391012739390135,0.2810935750190752,0.18123401169389852,0.13318681672086552,0.415439746553257,0.468964524941641,0.3838539546821758,0.884404271494898,0.18787094992256576,0.298204137572923,148.39538751189457,2.0164833068847656,"Gabe Starks","sa3023443",694784
"Ruben Salinas",,1.612303614616394,0.43087923526763916,0.3054060637950897,0.07288286089897156,0.007213963661342859,0.04537636414170265,0.2734304964542389,0,0.2735983431339264,0.034387603402137756,0.02019776776432991,0.01228754036128521,0.267244476388621,0.14003355076770543,0.14011951106418297,0.3807091264539236,0.4058287330079269,0.34969939741212436,0.7865378594618504,0.1385842566193059,0.29348689937727573,124.93318665270532,1.9526070356369019,"Ruben Salinas","sa3014704",693730
"D.J. Carpenter","STL",1.597243309020996,0.4402826428413391,0.28162968158721924,0.08591179549694061,0.0077165779657661915,0.06502456218004227,0.3424014151096344,0.021584732457995415,0.2866581380367279,0.019694115966558456,0.021133847534656525,0.00728572765365243,0.2756515806669449,0.17225504641031475,0.14421176050221757,0.4051447813082327,0.4612329574572561,0.37615276619523796,0.8663777387654888,0.18558137679031123,0.2962498799796618,143.1051174695583,1.9877583980560303,"D.J. Carpenter","sa3020444",681884
"Davidxon Lara","LAD",1.6284878253936768,0.4719492197036743,0.30496203899383545,0.09102871268987656,0.008176177740097046,0.06778229027986526,0.2955454885959625,0.02142198197543621,0.2321530282497406,0.019987521693110466,0.021518981084227562,0.007230792660266161,0.28980825790919473,0.14981239726218198,0.11767867565495237,0.4006442521668369,0.4806159103609715,0.3796612344243065,0.8812601625278085,0.19080765245177678,0.2993670579904038,145.5152317523357,1.9727705717086792,"Davidxon Lara","sa3022127",808154
"Gage Ziehl","BOS",1.954837679862976,0.5475603342056274,0.3573015630245209,0.10714780539274216,0.009750552475452423,0.07336042821407318,0.16322024166584015,0.0027636876329779625,0.3207751214504242,0.023623047396540642,0.022517049685120583,0.007794758304953575,0.2801052690185553,0.07514769075690247,0.1476870110180046,0.33934215674937723,0.4574756018388904,0.343455011835453,0.7968177585882676,0.1773703328203351,0.29951627166771577,120.64365575691022,2.171992778778076,"Gage Ziehl","sa3045855",695721
"Frankie Scalzo Jr.","CHC",1.748476505279541,0.48003727197647095,0.30288615822792053,0.09559393674135208,0.008641723543405533,0.0729154497385025,0.2364678680896759,0.012909999117255211,0.3182345926761627,0.0239162128418684,0.023355117067694664,0.007402051240205765,0.27454602365373165,0.11593734412948462,0.15602658315932724,0.3643419110055189,0.46421041337646424,0.3570817569695237,0.8285523243819831,0.18966438972273258,0.294870177277118,130.00443970338785,2.0396177768707275,"Frankie Scalzo Jr.","sa3017724",700794
"Nick Gallagher",,1.5736585855484009,0.4003373384475708,0.257063627243042,0.07862992584705353,0.007062521763145924,0.05758126452565193,0.22549447417259216,0.02008724957704544,0.36912354826927185,0.02443971484899521,0.019480809569358826,0.006780266296118498,0.25439910672114313,0.12189854126559235,0.19954201647692849,0.3528190806189721,0.42311344305801807,0.336518610448785,0.7759325236769902,0.16871433633687494,0.293849375795559,115.87875011672892,1.849853754043579,"Nick Gallagher","sa3005408",676711
"Rhett Lowder","CIN",215.1148223876953,57.73041915893555,37.524742126464844,11.49230670928955,1.0452505350112915,7.668118000030518,19.40428352355957,0.42060813307762146,42.8873291015625,2.382770538330078,2.506253719329834,0.8631203770637512,0.26837025230595063,0.08075990398323632,0.17849546344416004,0.3321419083166537,0.43845225588506404,0.3331834721993384,0.7705941642017178,0.1700820035791134,0.2996564970121847,113.58770348178122,240.27125549316406,"Rhett Lowder","33876",695076
"Jason Bilous",,1.6498548984527588,0.43146321177482605,0.2786012589931488,0.08464471250772476,0.007629686500877142,0.0605875588953495,0.2674836218357086,0.016616716980934143,0.3635806739330292,0.020788056775927544,0.01995539292693138,0.007165504619479179,0.26151585341199046,0.13610683652872058,0.18500502951316994,0.3675713792460131,0.43223799848180844,0.3481005100715996,0.7998093777278215,0.17072214506981798,0.2977385440170565,123.834843739401,1.9652475118637085,"Jason Bilous","sa875998",663467
"Alex Cobb",,1.797713041305542,0.45357921719551086,0.31977593898773193,0.0823567658662796,0.007466986309736967,0.043979525566101074,0.16553981602191925,0.005031507927924395,0.4177354872226715,0.017067112028598785,0.015428410843014717,0.0072345188818871975,0.25230902083577855,0.08264664653601503,0.2085566964353201,0.31877071857253353,0.3798206478037421,0.30643651162362506,0.6985913663762756,0.12751162696796353,0.3030869307421948,95.21409212332082,2.0029828548431396,"Alex Cobb","6562",502171
"Hunter Hoopes","MIN",1.5792063474655151,0.40436166524887085,0.2538115084171295,0.08102335035800934,0.007277498487383127,0.062249310314655304,0.22290170192718506,0.020113913342356682,0.3703759014606476,0.022199373692274094,0.02121264673769474,0.006789266597479582,0.25605372337683113,0.12033719010519621,0.19995358886498307,0.3519131281681131,0.4348310446927924,0.3396598906710691,0.7867441728609055,0.17877732131596125,0.2929561366758995,118.036627525225,1.8523093461990356,"Hunter Hoopes","sa3067085",804592
"Mark Manfredi Sr.","MIL",1.5517038106918335,0.35934343934059143,0.25618991255760193,0.06061571091413498,0.005999757908284664,0.03653804585337639,0.19710128009319305,0,0.41737523674964905,0.0358881913125515,0.01697036437690258,0.01140946988016367,0.23157991677572584,0.10871115663192445,0.23020319662624367,0.32876997429871047,0.34901814881976023,0.3042266231024272,0.6777881231184707,0.11743823204403439,0.28957366164255205,93.69602681944923,1.8130731582641602,"Mark Manfredi Sr.","sa3023516",815081
"Samuel Fabian",,1.6997005939483643,0.4892089068889618,0.31108298897743225,0.09608888626098633,0.008665073662996292,0.07337196916341782,0.371123343706131,0.01731400564312935,0.256296843290329,0.022838450968265533,0.02310859225690365,0.007741015870124102,0.2878206365466644,0.17468639912986966,0.12063798578564175,0.4172254389071131,0.4840522278284616,0.3901803779310682,0.9012776667355746,0.19623159128179718,0.29848890001354034,152.74127353267195,2.124511957168579,"Samuel Fabian","sa3016711",699022
"Alvaro Benua",,1.5905786752700806,0.45162689685821533,0.28772488236427307,0.08812730014324188,0.007915574125945568,0.06785912066698074,0.5202086567878723,0.023504367098212242,0.2581420838832855,0.024071194231510162,0.021747127175331116,0.007933682762086391,0.2839387349271038,0.24033227202553306,0.11925959461757672,0.46179362753574255,0.47728710280087877,0.4106091075154396,0.9390807303366213,0.19334836787377496,0.29834442785219706,166.77462647637597,2.164539337158203,"Alvaro Benua","sa3018032",703620
"Bryce Elder","ATL",216.61370849609375,58.259765625,38.486228942871094,11.36557674407959,1.0353612899780273,7.372602462768555,22.37441635131836,0.37621113657951355,44.64635467529297,2.2831966876983643,2.291365385055542,0.8756825923919678,0.2689569650484545,0.09153397796799441,0.18264871722380074,0.34043547356330095,0.4330929782947248,0.33600275347724345,0.7735284518580258,0.1641360132462703,0.3049214887093904,115.52438628219804,244.43836975097656,"Bryce Elder","27779",693821
"Adam Macko","TOR",28.72751808166504,6.701602458953857,4.657230377197266,1.1642510890960693,0.11523785442113876,0.7648833990097046,2.6449432373046875,0,7.459322452545166,0.6187883019447327,0.354376882314682,0.20483647286891937,0.2332816374844114,0.08125669686621526,0.22916178116982144,0.30808907031707716,0.3617082298983408,0.29629892009932024,0.669797300215418,0.12842659241392937,0.2846297606577936,88.25015443585403,32.55046463012695,"Adam Macko","sa3011555",671936
"Keynan Middleton","LAD",1.425390362739563,0.3519846498966217,0.23252776265144348,0.06823880225419998,0.006093469448387623,0.04512461647391319,0.19946026802062988,0.01698370650410652,0.3690226972103119,0.015451761893928051,0.01649980992078781,0.006149815395474434,0.2469391256582628,0.11994349474101948,0.22190821451008944,0.3421631616194985,0.3983359620233384,0.3229300108721692,0.7404991236428369,0.1513968363650756,0.2985766631630148,106.54416995687396,1.662951946258545,"Keynan Middleton","15264",641871
"Ethan Hankins",,1.9231833219528198,0.5180860161781311,0.3313048779964447,0.10343866050243378,0.009413016960024834,0.07392945140600204,0.23901711404323578,0.002818814478814602,0.3815981149673462,0.021921025589108467,0.023245321586728096,0.00795023888349533,0.26938982376992604,0.1078929619866649,0.1722544056192868,0.35292012263184047,0.4482875062736974,0.34770967572783856,0.8012076289055379,0.17889768250377136,0.29791149230125363,123.56636320242646,2.2153170108795166,"Ethan Hankins","sa3008589",677945
"JD Hammer",,1.6065119504928589,0.4587469696998596,0.2937571406364441,0.09295878559350967,0.008347855880856514,0.06368318200111389,0.1962771862745285,0.020474610850214958,0.27546557784080505,0.017706802114844322,0.02129925601184368,0.006777687929570675,0.285554657442244,0.10617768526157266,0.14901526753837457,0.36525828710717334,0.4727328715092956,0.3584869988003216,0.837991158616469,0.1871782140670516,0.3065688681483909,130.9697593773988,1.848572850227356,"JD Hammer","19548",670456
"Ethan Bagwell","ATL",1.9676930904388428,0.5746439695358276,0.3690206706523895,0.11323049664497375,0.010304083116352558,0.08208870887756348,0.28407320380210876,0.002941371640190482,0.26535266637802124,0.02683163434267044,0.024741431698203087,0.008295901119709015,0.2920394305026849,0.12288841982647773,0.11479002394978971,0.38446302049570996,0.4852122281878404,0.37590691984530855,0.8696752486835504,0.1931727976851555,0.2994269377912234,142.9362352791983,2.3116352558135986,"Ethan Bagwell","sa3025661",815626
"Manuel Marchan","CIN",1.9436956644058228,0.5858179330825806,0.3609652519226074,0.11823058873414993,0.010750123299658298,0.09587197005748749,0.478568434715271,0.004869395866990089,0.22664570808410645,0.024728380143642426,0.02886991947889328,0.00893095787614584,0.30139385697588716,0.19259890013200948,0.09121310753102722,0.4398930847264221,0.5212568500684243,0.4145362421260653,0.9611499347948463,0.2198629930925371,0.2969283263351309,169.47234029263345,2.484793186187744,"Manuel Marchan","sa3024869",820963
"Chase Dollander","COL",235.0619354248047,59.017005920410156,37.292789459228516,11.888835906982422,1.0813623666763306,8.754018783569336,28.885223388671875,0.5893800854682922,58.19758224487305,3.4422240257263184,2.8272526264190674,0.9742274880409241,0.2510700246458638,0.10651252669534125,0.21460008977781958,0.33804156127326795,0.42257213328899496,0.3315415035695611,0.7606136945622629,0.17150210864313115,0.2940429194788044,112.4597662202403,271.19085693359375,"Chase Dollander","33482",801403
"Darwinzon Hernández",,1.4418507814407349,0.30129948258399963,0.20951905846595764,0.05281319096684456,0.005225406959652901,0.03374182805418968,0.14788851141929626,0,0.4927537143230438,0.03468043729662895,0.016210459172725677,0.010633912868797779,0.20896717362314937,0.08956078798961031,0.29841000166981824,0.29492839668987686,0.32304936092619496,0.27753764394245795,0.6179777576160719,0.11408218730304559,0.2872128665067727,75.36224533234486,1.6512640714645386,"Darwinzon Hernandez","19848",650382
"Dan Straily",,1.9395503997802734,0.5402347445487976,0.3451428711414337,0.10862834751605988,0.009883238933980465,0.07658030092716217,0.2392955720424652,0.0030623713973909616,0.34177741408348083,0.026743074879050255,0.026133665814995766,0.008040858432650566,0.2785360692921408,0.1068396606264109,0.15259531389896094,0.36127848094580395,0.4631849148059868,0.35667315324811627,0.8244633957517907,0.18464884551384597,0.29964877380033816,129.7237526340848,2.2397634983062744,"Dan Straily","9460",573185
"Thomas White","MIA",19.460981369018555,4.330803394317627,3.0277609825134277,0.7590159773826599,0.07472222298383713,0.46930423378944397,2.3216192722320557,0.0005262874765321612,5.60696268081665,0.4523027539253235,0.22245502471923828,0.16595229506492615,0.22253776992008065,0.10262066281874806,0.24784004577641036,0.31636514355939865,0.3415643032252315,0.29515317480196324,0.6579294467846302,0.11902653330515087,0.2837841599937648,87.46309383695606,22.62331199645996,"Thomas White","sa3023268",806258
"Joseph Herrera","SDP",1.609628438949585,0.42686086893081665,0.297414094209671,0.07362835109233856,0.007287752348929644,0.04853066802024841,0.30234652757644653,0,0.27935945987701416,0.03409085422754288,0.021529139950871468,0.012460269033908844,0.265192176406487,0.1526960084725339,0.14108670205077006,0.3879346440598359,0.41044051505033274,0.35512093393418054,0.7983751591101687,0.14524833864384573,0.2902936006107936,128.65746794963928,1.9800552129745483,"Joseph Herrera","sa3024471",823877
