Name,Team,AB,H,1B,2B,3B,HR,BB,IBB,SO,HBP,SF,SH,AVG,BB%,K%,OBP,SLG,wOBA,OPS,ISO,BABIP,wRC+,TBF,NameASCII,PlayerId,MLBAMID
"David Morgan","SDP",121.68457794189453,29.598928451538086,20.38957405090332,5.489516735076904,0.3786464035511017,3.3411917686462402,14.007179260253906,0.5240979194641113,31.46987533569336,1.7616971731185913,1.3357486724853516,0.3802863359451294,0.24324305472524085,0.10064835568581973,0.22612627048779957,0.32688281140501363,0.37695256524781967,0.31003833155380034,0.7038353766528334,0.13370951052257882,0.29767551421178295,97.68833361303567,139.1694793701172,"David Morgan","31616",688158
"Victor Simeon",,2.2402126789093018,0.5751066207885742,0.38190850615501404,0.10946058481931686,0.007562696933746338,0.07617481052875519,0.4425157606601715,0.00958927720785141,0.4909690022468567,0.03329231217503548,0.029223058372735977,0.00749337300658226,0.2567196526485949,0.16075482451824974,0.17835666617240392,0.38281288159207194,0.41434325296374586,0.35261311690935043,0.7971561345558178,0.15762360031515094,0.2930941532865949,126.9347430350859,2.752737045288086,"Victor Simeon","sa3011677",686807
"Brett Banks","NYM",2.2625882625579834,0.5991449356079102,0.4057370722293854,0.11177883297204971,0.007722865790128708,0.07390616834163666,0.35805225372314453,0.009345894679427147,0.4478868246078491,0.0267998855561018,0.028127217665314674,0.007303185760974884,0.2648051108205357,0.13345863575873507,0.16694313180526582,0.3677713348429992,0.4190280770919189,0.345530407175688,0.7867994119349181,0.1542229662713832,0.29692582407935186,122.06933204220982,2.682870626449585,"Brett Banks","sa3023097",688781
"Nick Raquet","BAL",49.40168380737305,13.390358924865723,8.819626808166504,2.666078805923462,0.1676633208990097,1.7369900941848755,5.711913108825684,0.6319854855537415,9.517004013061523,0.39669957756996155,0.5775106549263,0.05204259604215622,0.2710506584568531,0.10174435888419468,0.1695231445854971,0.34765081044383556,0.4372874180500264,0.33763901571916805,0.784938228493862,0.1662367595931733,0.30092468789926585,116.64840358609105,56.13985061645508,"Nick Raquet","20333",675919
"Xavier Ruiz",,2.2839674949645996,0.6278544068336487,0.43004733324050903,0.11522965133190155,0.00796128436923027,0.07461610436439514,0.3878290355205536,0.009530613198876381,0.38557130098342896,0.028834320604801178,0.027818599715828896,0.00744753098115325,0.27489638456670773,0.14175572406993422,0.14093049757899287,0.38282467085858224,0.43032788716847187,0.35704955046639986,0.8131525580270541,0.15543150260176414,0.298789530180897,129.9823157027958,2.7358968257904053,"Xavier Ruiz","sa3019717",800226
"Nick Sinacola",,2.142198085784912,0.5757691264152527,0.3818683326244354,0.11039579659700394,0.007666855119168758,0.0758381113409996,0.19552277028560638,0.005160502623766661,0.3962336778640747,0.02337663620710373,0.02854609303176403,0.0064448886550962925,0.26877492340036707,0.08160080986682089,0.16536687242609993,0.3325468859847053,0.4336727507622401,0.33145452606416453,0.7662196367469454,0.16489782736187303,0.2943069058705083,112.40001771623511,2.3960886001586914,"Nick Sinacola","sa3017862",701161
"Andre Pallante","STL",239.41726684570312,64.98064422607422,47.5265998840332,11.33272647857666,0.7902383208274841,5.331083297729492,24.43277359008789,0.0891210064291954,44.97444152832031,2.3481531143188477,1.88346266746521,0.71564781665802,0.27141168672663946,0.09089664734699902,0.16731730993023347,0.34228963005214824,0.39214841198189027,0.3237720570576066,0.7344380420340385,0.12073672525525081,0.3123092070613003,107.12260687172656,268.79730224609375,"Andre Pallante","26108",669467
"Luke Russo","PHI",2.00704288482666,0.5299023389816284,0.3503071069717407,0.10275674611330032,0.007168648764491081,0.06966980546712875,0.20930534601211548,0.002106231404468417,0.40489661693573,0.024188607931137085,0.02594541572034359,0.006044608540832996,0.26402143321785265,0.09210246914784809,0.1781702134222244,0.3368198852704332,0.42650098502218065,0.33201506791415225,0.7633208702926139,0.162479551804328,0.29531960502413507,112.78507747181644,2.272526979446411,"Luke Russo","sa3023502",689726
"Jason Blanchard",,2.3611581325531006,0.6337201595306396,0.41448092460632324,0.12746591866016388,0.008036298677325249,0.08373702317476273,0.32669878005981445,0.025936709716916084,0.4782494902610779,0.016599958762526512,0.027916721999645233,0.0030386107973754406,0.26839378133704384,0.11943310081075373,0.17483634182100455,0.3575714904879262,0.43557851398356023,0.34311549249129913,0.7931500044714864,0.1671847326465164,0.30101617090921307,120.41042564986677,2.735412359237671,"Jason Blanchard","sa3010313",687836
"Spenser Watkins",,2.0209691524505615,0.563512921333313,0.37915176153182983,0.10773028433322906,0.0075221373699605465,0.06910871714353561,0.17280827462673187,0.0006274722982198,0.3248636722564697,0.02226443961262703,0.02527061477303505,0.005963087547570467,0.2788330146702217,0.07689678797151253,0.14455889325387872,0.3384559903389847,0.44217083165210375,0.33797616784405954,0.7806268219910885,0.16333781698188204,0.29922772235630485,116.88000755073216,2.2472755908966064,"Spenser Watkins","17489",657093
