Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Mason Miller","SDP",3.996799945831299,2.4660000801086426,0,2.460100000554865,66,0,31.61400032043457,1.9911999702453613,,66,263.8940124511719,42.035675048828125,19.715665817260742,18.040733337402344,5.502933502197266,25.18706703186035,1.688921570777893,2.407241106033325,102.54346466064453,13.983199726451527,3.4346000497991387,4.071274536687114,0.7504000230268999,0.38857821633834183,0.09544387459916581,0.293134341739176,0.1778913569570051,1.0185263951619465,0.28484834148274746,0.7981882669463047,0.37400000511721687,,2.3659564791303693,,,29.450000762939453,,,,,,,599.7599691867829,9.0872722604058,546.8006708621979,8.28485864942724,4.22,3.51,3.07,2.74,2.46,2.21,1.98,1.73,1.44,3.29,3.05,2.9,2.77,2.65,2.54,2.43,2.3,2.14,"Mason Miller","31757",695243
"Garrett Crochet","BOS",14.10099983215332,8.42080020904541,21.53849983215332,2.7897999757100362,32,32,0,0,,192.8553009033203,768.0419921875,151.10458374023438,65.73580169677734,59.78085708618164,19.101245880126953,45.700279235839844,0.4892427623271942,5.963846206665039,247.40335083007812,11.545599975947397,2.13270006681718,5.4136069837414755,0.8913999880528192,0.32212216694745543,0.059502318493912715,0.2626198484535427,0.21092860451818257,1.0204794063437947,0.2934233853233805,0.7707083243409053,0.44599999205314855,,2.6606970445004356,,,11.869999885559082,,,,,,,1139.126309967041,5.906637280030445,1055.7746334075928,5.474439273706352,4.11,3.68,3.39,3.17,2.97,2.79,2.6,2.4,2.15,3.58,3.39,3.25,3.14,3.04,2.95,2.85,2.74,2.59,"Garrett Crochet","27463",676979
"Jhoan Duran","PHI",4.078100204467773,2.7778000831604004,0,2.7280999864850726,70,0,28.621999740600586,3.084199905395508,,70,285.1319885253906,56.56733703613281,23.780555725097656,21.218555450439453,4.84244441986084,22.288000106811523,2.300729990005493,3.253641366958618,84.08555603027344,10.811000061035156,2.86560001373291,3.7726828619574406,0.6225999968392508,0.2949004650973622,0.07816730848782617,0.21673315660953602,0.21791001737396726,1.1265048163277762,0.3030832145830903,0.7641218491936708,0.547999995130151,,2.726644744191851,,,41.84000015258789,,,,,,,558.3558433055878,7.976512047222682,534.0412085056305,7.629160121509007,4.66,3.93,3.48,3.13,2.84,2.57,2.32,2.05,1.73,3.66,3.43,3.27,3.14,3.02,2.91,2.8,2.67,2.5,"Jhoan Duran","21029",661395
"Tarik Skubal","DET",14.05739974975586,8.879199981689453,22.64900016784668,2.7935000617944716,32,32,0,0,,199.76480102539062,795.2420043945312,159.04840087890625,68.05098724365234,62.00477600097656,20.902057647705078,42.61648941040039,0.3634255826473236,7.102306365966797,247.98580932617188,11.172500222658696,1.9199999335461182,5.819010734038827,0.9417000285522541,0.3118369099667709,0.05358933403278548,0.2582475759339854,0.21333796056289692,1.0095116319499875,0.28983655042160045,0.7750136055212311,0.42800000253276377,,2.759251870508055,,,6.760000228881836,,,,,,,1154.453607559204,5.7790641876517075,1073.9124870300293,5.375884447698732,4.08,3.66,3.38,3.17,2.97,2.79,2.61,2.42,2.17,3.54,3.36,3.24,3.14,3.04,2.95,2.86,2.76,2.62,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",13.729999542236328,8.878000259399414,21.555500030517578,2.8369998297774868,32,32,0,0,,193.98150634765625,779.9819946289062,153.1806640625,67.33528900146484,61.14727783203125,18.0963191986084,51.83616638183594,0.49918848276138306,7.120455741882324,241.8755340576172,11.222099712006163,2.404999869422656,4.666153979750584,0.839600000298912,0.31010399691687096,0.06645815767388084,0.2436458392429901,0.2124483685369863,1.0568885369768293,0.2929905948531497,0.7662512329294314,0.4460000030127022,,2.7658791992637273,,,10.199999809265137,,,,,,,1121.4898960113528,5.78142688510421,1041.5365839004517,5.36925711894306,4.18,3.74,3.45,3.23,3.03,2.84,2.65,2.45,2.19,3.66,3.46,3.32,3.2,3.1,3,2.89,2.78,2.62,"Paul Skenes","33677",694973
"Edwin Díaz","LAD",3.9402999877929688,2.5230000019073486,0,2.8991999192671343,66,0,35.77899932861328,2.9595000743865967,,66,268.1839904785156,47.76625061035156,23.215133666992188,21.260799407958984,5.788933277130127,23.864133834838867,1.3430655002593994,3.216062545776367,90.41266632080078,12.32899995283647,3.254200068387118,3.788642275748922,0.7893999923359264,0.3371292453344406,0.0889841850449706,0.24814506028947,0.19811488570335828,1.085308855230158,0.28969414492359724,0.7621343051256172,0.4209999976245621,,2.7665210015846022,,,33.459999084472656,,,,,,,583.3216095447541,8.838206205223546,545.061607837677,8.258509209661772,4.85,4.08,3.6,3.24,2.93,2.65,2.39,2.11,1.77,3.81,3.56,3.39,3.25,3.13,3.01,2.89,2.75,2.57,"Edwin Diaz","14710",621242
"Aroldis Chapman","BOS",3.585099935531616,2.4874000549316406,0,2.8152000673355593,62,0,31.077999114990234,1.9342999458312988,,62,254.51600646972656,43.22190856933594,21.22191047668457,19.393600463867188,5.690222263336182,27.622377395629883,1.3438445329666138,2.0272200107574463,88.56837463378906,12.85669954361454,4.009699944526918,3.206399411797241,0.8260000059681554,0.3479874443351516,0.10852903822736756,0.23945840610778404,0.1922114945908235,1.142649773628481,0.2873617257919933,0.7891853331638323,0.4019999927457862,,2.9058610339318554,,,63.540000915527344,,,,,,,527.748456287384,8.512071875602967,487.34226298332214,7.860359080376163,4.77,3.99,3.51,3.14,2.84,2.56,2.29,2.02,1.69,3.7,3.46,3.3,3.16,3.05,2.93,2.81,2.68,2.51,"Aroldis Chapman","10233",547973
"Félix Bautista","BAL",0.6371999979019165,0.44020000100135803,0,2.912199952385642,11,0,0,0.6610999703407288,,11,45.17499923706055,7.66710090637207,3.8860554695129395,3.5593554973602295,0.9851111173629761,4.916755676269531,0.23784637451171875,0.3720613121986389,15.553388595581055,12.725499760020863,4.02280009876598,3.1633438022248463,0.8060000051151622,0.3442919503764243,0.10883798028348246,0.23545397009294183,0.19222448663014496,1.1439869620583274,0.28619499082218186,0.7762635610621903,0.4020000160018844,,2.9138743454759775,,,999,,,,,,,67.23339700698854,6.112127000635322,60.078281581401825,5.46166196194562,6.42,4.53,3.52,2.84,2.32,1.9,1.53,1.19,0.84,3.86,3.59,3.41,3.27,3.14,3.01,2.88,2.74,2.55,"Felix Bautista","20666",642585
"Griffin Jax","TBR",3.691699981689453,2.9697000980377197,0,3.024199878468233,68,0,11.831000328063965,9.941499710083008,,68,277.5509948730469,55.12440490722656,25.033065795898438,22.849510192871094,6.4819111824035645,21.19635581970215,2.015852928161621,2.4790854454040527,82.92449188232422,10.97530039618997,2.8054000349605785,3.912205125620951,0.8579000094357658,0.2987720938282144,0.0763692302000123,0.2224028636282021,0.21713159902097162,1.122364128337187,0.29575451423057353,0.7626867032697825,0.4470000067346241,,2.9798743388232065,,,156.64999389648438,,,,,,,473.8927001476288,6.969010296288658,449.47881507873535,6.609982574687285,5.01,4.24,3.76,3.39,3.09,2.8,2.53,2.25,1.9,3.94,3.7,3.53,3.4,3.28,3.16,3.04,2.91,2.73,"Griffin Jax","20253",643377
"Cade Smith","CLE",3.837399959564209,3.0197999477386475,0,3.0045000621250697,70,0,29.937000274658203,3.296999931335449,,70,285.5979919433594,55.2175178527832,25.456666946411133,23.36833381652832,6.853000164031982,22.000999450683594,1.6613235473632812,3.1304397583007812,87.00299835205078,11.186099788120815,2.828699929373605,3.9545020919196245,0.8811000210898263,0.304634489059382,0.07703485343498807,0.22759963562439395,0.21199465832795156,1.1031216757638114,0.29028483769032,0.765432504117563,0.40500000794734176,,2.9990980761391777,,,40.540000915527344,,,,,,,551.6272317409515,7.880389024870736,522.3956780433655,7.462795400619507,4.94,4.19,3.71,3.35,3.05,2.77,2.5,2.22,1.88,3.91,3.66,3.5,3.36,3.24,3.12,3,2.86,2.68,"Cade Smith","27867",671922
