Name,Team,AB,H,1B,2B,3B,HR,BB,IBB,SO,HBP,SF,SH,AVG,BB%,K%,OBP,SLG,wOBA,OPS,ISO,BABIP,wRC+,TBF,NameASCII,PlayerId,MLBAMID
"Michael Vilchez",,1.6070889234542847,0.4527527689933777,0.2846052050590515,0.08823858201503754,0.008085454814136028,0.07182352989912033,0.3344165086746216,0.020548760890960693,0.26471149921417236,0.023940255865454674,0.022541172802448273,0.005572187248617411,0.2817222882852236,0.1677484780711044,0.13278337034581808,0.40800548008066384,0.48076546471822806,0.3837874686310145,0.8887709447988918,0.19904317643300445,0.29458718757296265,148.349715449032,1.9935591220855713,"Michael Vilchez","sa3016605",699074
"Paxton Thompson","TEX",1.6140258312225342,0.45188912749290466,0.2848391830921173,0.08784078806638718,0.008049004711210728,0.07116016000509262,0.25255119800567627,0.019701970741152763,0.26608097553253174,0.017131561413407326,0.022355815395712852,0.005342564079910517,0.27997639117747203,0.13212843448155903,0.13920687377475538,0.37856637195808174,0.47663946790503736,0.3670744012449011,0.855205839863119,0.19666307672756533,0.29306219322736876,136.86880703362726,1.9114068746566772,"Paxton Thompson","sa3023277",801505
"Jeisson Cabrera","BAL",1.5651824474334717,0.39853137731552124,0.2537817656993866,0.07784514874219894,0.0071330866776406765,0.05977135896682739,0.2694399654865265,0.019373752176761627,0.3728584945201874,0.020094050094485283,0.019594458863139153,0.005253561306744814,0.2546229533617747,0.14335233618719687,0.1983749372896309,0.36710312300119974,0.4280374854590188,0.3460532544593093,0.7951406084602186,0.1734145320972441,0.29402498363607527,122.42849781590178,1.8795645236968994,"Jeisson Cabrera","sa3006501",678922
"Daniel Palencia","CHC",101.39531707763672,23.356868743896484,14.939956665039062,4.622457027435303,0.42454013228416443,3.369915246963501,12.367608070373535,1.095503330230713,30.729318618774414,1.2424254417419434,1.1796618700027466,0.3248068392276764,0.23035451159951023,0.10615077916401325,0.2637487455942323,0.3181727270444356,0.3840231800330765,0.3058534257689911,0.7021959070775121,0.15366866843356627,0.2918836950664393,94.81354594345365,116.50981903076172,"Daniel Palencia","27914",694037
"Wilmer Flores","DET",1.8497897386550903,0.5034471750259399,0.32634449005126953,0.09796994924545288,0.009081271477043629,0.07005148380994797,0.22388719022274017,0.006860021501779556,0.35494711995124817,0.021031182259321213,0.021396370604634285,0.0058532701805233955,0.2721645409234331,0.10550972900863537,0.16727341301301463,0.3536524561830777,0.4485559200995272,0.3475145678896663,0.8022083762826049,0.1763913791760941,0.29968153477207105,123.43233542826432,2.121957778930664,"Wilmer Flores","sa3015223",695865
"Connor Thomas","ATL",1.6031043529510498,0.4098060131072998,0.30003368854522705,0.06572151184082031,0.006615289021283388,0.037435535341501236,0.10200367867946625,0,0.32290026545524597,0.026255078613758087,0.01629125140607357,0.011280148290097713,0.25563277421891767,0.057991743754596745,0.1835771973618185,0.3078782522491564,0.37493798800450023,0.29941863890672527,0.6828162402536566,0.11930521378558256,0.295752812307094,90.3932204022722,1.758934497833252,"Connor Thomas","25873",671162
"Yorlin Calderon",,1.628167748451233,0.4418213963508606,0.2884144186973572,0.0841517522931099,0.007723302114754915,0.0615319162607193,0.2128741294145584,0.017751462757587433,0.3064596354961395,0.026807591319084167,0.019337931647896767,0.005280530545860529,0.2713611031609831,0.11248493087193008,0.1619364974439332,0.36112106131260285,0.4459095172234734,0.3486294012504103,0.8070305785360763,0.17454841406249028,0.2972139749506647,124.19816131871542,1.892467975616455,"Yorlin Calderon","sa3010371",683583
"Ethan Bagwell","ATL",1.963158369064331,0.5755264759063721,0.362479031085968,0.11369960755109787,0.010564981959760189,0.08878286927938461,0.2855163812637329,0.0036752154119312763,0.2661280035972595,0.02387523092329502,0.026167454198002815,0.00633876072242856,0.29316354960230545,0.1238652637858956,0.11545402481106434,0.3849616635984722,0.4975170035061888,0.3799309551657489,0.882478667104661,0.20435345390388338,0.29780907627657566,145.70051426563472,2.305056095123291,"Ethan Bagwell","sa3025661",815626
"Trevin Michael","DET",1.57463800907135,0.3996477723121643,0.2514244019985199,0.07847173511981964,0.007190501783043146,0.06256115436553955,0.1872374266386032,0.018595118075609207,0.3649585545063019,0.016603883355855942,0.020502738654613495,0.005042419768869877,0.25380295027163635,0.10378874067665818,0.20230244268681408,0.3354614237072123,0.43196213423718155,0.33001867107792315,0.7674235579443939,0.1781591839655452,0.288695224503178,111.41366857912006,1.8040244579315186,"Trevin Michael","sa3020400",800723
"Conor Steinbaugh",,1.6130918264389038,0.4538756012916565,0.2918855547904968,0.08714857697486877,0.007985576055943966,0.06685589253902435,0.2671918570995331,0.019874874502420425,0.2682882249355316,0.0215836800634861,0.020924624055624008,0.005389450117945671,0.28136997153698434,0.13857194957723634,0.13914055159279662,0.3862358191742909,0.46963414893532507,0.36897911081832446,0.855869968109616,0.18826417739834073,0.29796593469104343,138.17723209200926,1.9281814098358154,"Conor Steinbaugh","sa3023419",805772
